,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.0052295271128184285,5.692160960332756e-05,0.00032788416674675434,0.001501227692624907,0.00334349364384344,0.03743556259814297,0.00770373954622373,0.02550698325139395,0.004224839800525293
Alaska,0.006308313155770783,8.393866020984665e-05,0.00083454398708636,0.0009136400322841,0.0044761904761904765,0.0372865213882163,0.006112994350282486,0.026882970137207425,0.004290556900726392
Alabama,0.004901985463156502,7.894986157457604e-05,0.0003462351900357494,0.0012121664253928386,0.0032646339861533385,0.03922274891060633,0.008844215217780333,0.02737294678870866,0.003005586904117338
Arkansas,0.004251828329295638,5.604825323463092e-05,0.0002782815370390766,0.0007932983534747761,0.0031242001855471546,0.036169936736024096,0.008502088875284013,0.025055920870840916,0.002611926989899164
Arizona,0.00551112815099495,8.036277094182656e-05,0.00028943154222017223,0.0015252184235000834,0.0036161154143328675,0.0534498230763371,0.0103431490319216,0.035102416491779975,0.008004257552635521
California,0.006271782806283917,6.0491557716745095e-05,0.00028248501491365805,0.0018113978223220245,0.00411740841133149,0.03177798023425529,0.0067525473809554055,0.019942331783914743,0.005083101069385144
Colorado,0.0034049672434311204,4.560994424985571e-05,0.0004139410615973391,0.0007534269709597787,0.002191989266624147,0.037228069197928176,0.006651409113064093,0.026929097246071565,0.003647562838792515
Connecticut,0.003455786980683607,3.260176396871328e-05,0.0001992668564069017,0.0012352107582164825,0.0019887076020915096,0.03043664121393125,0.005879895710918026,0.021114669544559452,0.0034420759584537744
District of Columbia,0.016277456647398846,0.000464354527938343,0.00047784200385356457,0.006443159922928709,0.008892100192678228,0.06439306358381502,0.00976300578034682,0.0418131021194605,0.012816955684007708
Delaware,0.007344022464693221,3.184975409335694e-05,0.0007020216631410758,0.001979993046137023,0.004630158001321764,0.041035754003115966,0.006960498342485714,0.030036972256210038,0.004038283404420215
Florida,0.008539601372329108,5.684508833289966e-05,0.00046256946152150013,0.002115576983602409,0.0059046098388723,0.05351472056172212,0.012002850327875058,0.03534487299655806,0.006166997237289001
Georgia,0.005339460519963432,7.485645023779442e-05,0.00029775661766971744,0.0016643041303298306,0.0033025433217260896,0.04614431501854077,0.009171391739340338,0.031821566875186176,0.005151356404014257
Hawaii,0.0023492256834053565,3.7115235213585526e-05,0.00029860893785475627,0.0008806433082496202,0.0011328582020873946,0.04600517757531229,0.007946877976072483,0.03412745877889189,0.003930840820347921
Iowa,0.002799875793411405,1.4985643405114565e-05,0.0002718326013020782,0.00036627700508780017,0.0021467805436164123,0.029435637184330034,0.005928738735065325,0.02171733382402603,0.0017895646252386811
Idaho,0.002449468722537349,1.9972836941759208e-05,0.00033314692018854357,0.00017815770552049212,0.0019181912598865542,0.029050890788527604,0.006104497882879284,0.02143005512502996,0.001516337780618359
Illinois,0.006894661030295085,7.742178050306843e-05,0.00035429328096026096,0.0021738287997480287,0.0042891171690837265,0.03825237851417791,0.007116949763241062,0.02646307789092846,0.004672350860008394
Indiana,0.0037458137027690684,6.579278369267804e-05,0.0002704066582970169,0.0010930688564389681,0.0023165454043404055,0.03391390837572425,0.007145163616220428,0.02335458726302188,0.003414157496481937
Kansas,0.003827732086635831,6.02851790394461e-05,0.0004012732229813131,0.0007712735093359136,0.002594900175279158,0.04055836132826335,0.008241737539430275,0.030037844021142013,0.0022787797676910625
Kentucky,0.0030831960513276906,5.125194877329849e-05,0.0002898386068558949,0.0007836751181887611,0.001958430377509736,0.026451055020103136,0.006357261429121458,0.01785461362216205,0.0022391799688196274
Louisiana,0.007326794044420962,0.00010704397380167359,0.00033119588475389607,0.0017362624041207355,0.005152291781744657,0.05014118139493394,0.010927405658920846,0.03425155562569833,0.0049622201103147615
Massachusetts,0.005509646780517262,1.975654431481956e-05,0.00026930437045528634,0.0009604595436983182,0.004260126322048838,0.027114561560987238,0.005338153498309115,0.017626238245463402,0.004150169817214719
Maryland,0.007434207447781494,8.991355536760723e-05,0.0002999052137100189,0.002636690840844499,0.004407697837859369,0.04176107589980266,0.00835906021191755,0.028481520540703385,0.004920495147181722
Maine,0.0011204750047883547,1.9951478005490647e-05,0.0001907361297324906,0.0001939283662133691,0.0007158590308370044,0.02762721062376301,0.006010981293494222,0.02026431718061674,0.0013519121496520462
Michigan,0.00574921873217911,7.04598391589427e-05,0.0004915967770959902,0.0014297771390770775,0.0037573849768470996,0.037499537448897606,0.007779577291655578,0.023961515748280957,0.005758444408961072
Minnesota,0.002740022632147198,2.8059842010525374e-05,0.0004267608807272441,0.0008202268742927454,0.0014649750351166829,0.03323562645063101,0.005801686438385194,0.024654131036949366,0.0027798089752964503
