,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,0.003615538543114589,4.4414146412362505e-05,0.0002661085936980183,0.00037009802729539036,0.0010125352970406605,0.002292480505963548,0.02574104575265094,0.005371944942726494,0.018215488200601527,0.0021536126093229177
Alaska,0.006355098596288427,5.5627464228826964e-05,0.0007502923833790564,0.00104606768098599,0.0008534067073154186,0.004399996743758191,0.027588508722657744,0.004273817373678169,0.020955272805225182,0.0023594185437543925
Alabama,0.0042767730594867005,5.694935902052055e-05,0.0002940320166820354,0.0004137082059280569,0.0009702024859220566,0.0028359130086160664,0.0317940430557788,0.008196374595551224,0.02150519219273809,0.0020924762674894887
Arkansas,0.0048024241321138516,5.8985417119590406e-05,0.00043514384857937835,0.0006121000999381495,0.0006865902552720323,0.0034447483597840798,0.033521244019300026,0.008364469207084318,0.0232574443809649,0.001899330431250811
Arizona,0.0039267130475154274,4.6219353484872374e-05,0.0003501376103226988,0.0004862692109405222,0.0009251301461200339,0.002469094336969999,0.031715393407693485,0.006451686731463921,0.022691027485951025,0.002572679190278539
California,0.0039637514577316405,4.3823140015112796e-05,0.00021625430681575366,0.00029846136182057407,0.001254914281809239,0.002366552674086715,0.02441704203549102,0.005224465861013468,0.015278112860104087,0.0039144633143734665
Colorado,0.00307846682754536,2.8008129079384002e-05,0.00041750784414335083,0.0005767807381747812,0.0005670712534272614,0.0019066067068639334,0.02535463893040316,0.004388313664157885,0.018613829144437547,0.0023524961218077266
Connecticut,0.0023854152235947747,2.475824546938017e-05,0.00016106768681765302,0.00022087693149087478,0.0008823949958300439,0.001257385050804476,0.019285282307980333,0.0033429195034330506,0.014241554795560874,0.0017008080089864085
District of Columbia,0.012425814899459866,0.00015913045059681496,0.0005289193072217945,0.0007153292636352063,0.0052998017689244,0.006251553416303445,0.05175073806218515,0.005252820397795816,0.040764674858601226,0.005733242805788105
Delaware,0.004880508735341379,5.342062976512017e-05,0.00029274505111285854,0.0004166809121679374,0.001357952408629355,0.0030524547847789667,0.029824737597866594,0.006159398611918356,0.0223137970528907,0.0013515419330575405
Florida,0.004588916800117596,4.9332927885658534e-05,0.0002530950007005577,0.000358291692139019,0.0010861784458409604,0.0030951137342519574,0.029327169698088008,0.006097740788017665,0.02141094283715276,0.001818486072917584
Georgia,0.0038580262197225905,6.011608048701354e-05,0.00021877499472127332,0.00031167266110812455,0.001266300173158081,0.0022199373049693713,0.03358834964225485,0.007727837964285304,0.02311141421148104,0.002749097466488504
Hawaii,0.0023671772080686806,1.4081958406119455e-05,0.0002731899930787174,0.0003858456603276731,0.0006703012201312861,0.001296948369203602,0.03240399448832148,0.005259611464685616,0.02323734366385802,0.003907039359777843
Iowa,0.002728429599666311,1.9295824608672636e-05,0.0002666039766764936,0.0003698366383328922,0.0003367121394213375,0.0020025849973034087,0.020935969700409812,0.004619098814239418,0.014984494196941547,0.0013323766892288456
Idaho,0.0021036135174448832,1.957418800762904e-05,0.00028321403273538266,0.00039454222702877285,0.0001241737551733967,0.0015653233472350848,0.018619946342257124,0.003955209364291543,0.013638927187690771,0.0010258097902748093
Illinois,0.003708608839693316,5.3562325471237845e-05,0.0002470077096369258,0.000336045372413027,0.0011854351772047436,0.0021335659646043075,0.02093176866136648,0.003940246490716756,0.015603171169123508,0.0013883510015262157
Indiana,0.003653446258495153,5.047075727354847e-05,0.00024371464773533316,0.0003329857469368949,0.0010448810830145441,0.0022251086712701657,0.026509878930808077,0.005594069610238441,0.018815740813715922,0.0021000685068537166
Kansas,0.003526261952167557,3.169673664869714e-05,0.0003672687094294691,0.0005109376135871506,0.0004689049845530088,0.0025147226173787007,0.02757237105715852,0.005485258088955513,0.019696421059449642,0.0023906919087533637
Kentucky,0.0021517843039629315,3.716615332805906e-05,0.00024883192898907835,0.0003526252108442677,0.0007576003083884235,0.0010043926314021814,0.022641665932030812,0.005308867730872632,0.015888077301972958,0.0014447208991852228
Louisiana,0.0051587549123573075,0.0001023878304750064,0.00021101357499155732,0.0002972688691522245,0.0012314502719945623,0.0035276479407355147,0.03467247724774628,0.008290187761212651,0.02436034493513645,0.002021944551397185
Massachusetts,0.003950926733543307,1.9688757748932515e-05,0.00024055813039109274,0.00032597477115149924,0.0008996133897764127,0.002705649814866463,0.01857567677514136,0.003693640560854249,0.013652747159045488,0.0012292890552416211
Maryland,0.0044795732330813985,6.0582265863767556e-05,0.0001914533484755527,0.00027312225936372553,0.0016007441242733057,0.0025451245835805994,0.02516841702555802,0.004708346596163636,0.018265051094949147,0.0021950193344452353
Maine,0.0012764460374544448,1.578643509219278e-05,0.0002601003115189858,0.0003638397421248241,0.00022852744133460026,0.0006682924189028277,0.01986610096101803,0.0037849857471043166,0.015478975475397217,0.000602139738516496
Michigan,0.004291416581940896,5.485913807016444e-05,0.00045379801712452196,0.0006417712402178795,0.0008104832585843963,0.002784302945068456,0.020440272819334134,0.004470213000687958,0.013829948369886932,0.0021401114487592456
Minnesota,0.0022914996449595712,1.612570721762833e-05,0.0002653411823991571,0.00036667659252811693,0.0006756304830840415,0.0012330668621297846,0.022974918111643036,0.003806583136724924,0.017635110062532926,0.0015332249123851845
Missouri,0.004433173967529087,6.662459202744405e-05,0.00028496855203817654,0.00039628439267808927,0.000922189897567988,0.0030480750852555655,0.029096476532064652,0.005820251798080651,0.020575949808594472,0.002700274925389527
Mississippi,0.0027830828915065362,8.652244255193769e-05,0.00025656075629300443,0.0003614566905065505,0.0008034226808394213,0.0015316810776086266,0.02902577400003942,0.007983449158711223,0.019547724810527543,0.0014946000308006533
Montana,0.0032846258790600945,3.713650205423493e-05,0.0003870014424599219,0.0005453202143753445,0.0001974098267093541,0.002504759335921161,0.02494497934037754,0.003556308709877919,0.01937548130861215,0.0020131893218874727
North Carolina,0.0032914211488949074,5.0098653100729375e-05,0.0001748422873274451,0.0002446584826123973,0.0008461441189362145,0.002150519894245566,0.028721014584241037,0.007974136218237782,0.01937640858449475,0.0013704697815085066
North Dakota,0.0027039078968704396,3.107940111345333e-05,0.00037160153505215937,0.0005161883141451813,0.0002364737041241014,0.0019201664774877033,0.021427220150262147,0.003717366628830874,0.015619425976974218,0.0020904275444570564
Nebraska,0.0027621111217325726,2.814687357274108e-05,0.00034254214064939614,0.0004662821697522013,0.0005544403020743715,0.001713241776333259,0.025239779498454577,0.004214596012703268,0.0186210156241702,0.0024041678615811107
New Hampshire,0.0019766625803089768,1.2048229060930907e-05,0.00032982027054298356,0.00044879653251967625,0.0004096397880716508,0.001106178030656719,0.019652167627010924,0.003155882999647589,0.015851704372603533,0.0006445802547598035
New Jersey,0.002608726587017292,3.93786937102829e-05,0.00010661333836903295,0.00014319524985557418,0.0011745366626825572,0.001251615980768878,0.017333896866306202,0.0035471029587271015,0.012477452341712195,0.0013093415658669062
New Mexico,0.0059767919227720805,4.842807735258565e-05,0.0005130499283887787,0.0007101186391997956,0.0010002076174009274,0.004218037588818772,0.03542298089680169,0.00887288684563958,0.0235341276496991,0.0030159664014630075
Nevada,0.006357016799957439,5.9895408523680354e-05,0.0003477456953698383,0.0004781062903919661,0.0020977486020587813,0.003721266498983011,0.02627435408967611,0.0077243937439598126,0.014961873049215353,0.0035880872965009455
New York,0.003846905983120644,3.1191677007348985e-05,0.00021854428240863344,0.0003050809317683078,0.001217083033358182,0.0022935503409868053,0.017171271371742104,0.002569161214283884,0.01380454505268102,0.0007975651047771977
Ohio,0.0028567737961151672,4.001035440378622e-05,0.00032982673619500494,0.000450806320739212,0.0011020093303456635,0.0012639477906265053,0.027810386791478278,0.006852290566920853,0.019396571423052757,0.0015615248015046653
Oklahoma,0.004137529287737685,4.639641613461147e-05,0.0003508084575511456,0.0004799451491258142,0.0007920899265647836,0.0028190977959124757,0.03027237273849691,0.007723198981340908,0.01977492583017365,0.002774247926982351
Oregon,0.0025921622722792745,2.1152285882208965e-05,0.0002933620601520648,0.00040793694201403,0.0005716153446739804,0.0015914576997090554,0.031008747477464002,0.004706383608791494,0.02371498604200945,0.0025873778266630606
Pennsylvania,0.003149815062287753,4.767946766577819e-05,0.00021768412696588895,0.0003000679940474139,0.0010587186713655174,0.0017433489292090437,0.019304869316441358,0.0035734588569574545,0.014711148014497997,0.001020262444985906
Rhode Island,0.00219924599988435,2.4646722412497025e-05,0.00025025902757304673,0.0003469500154989966,0.0005024139568701317,0.0013252353051027247,0.021785806710923332,0.004578602663552332,0.015467714215565921,0.0017394898318050785
South Carolina,0.00497767727720763,6.667826288629906e-05,0.0003151686835805813,0.00045245964101417224,0.0008320287586246883,0.0036265106146824706,0.03484684707071209,0.0076955412535513424,0.02447071540392118,0.00268059041323957
South Dakota,0.0032825347121307295,2.695405154552188e-05,0.00039376353562153697,0.0005601755060330198,0.00023321114163299362,0.002462194012919194,0.018792833503651688,0.003301285356684136,0.014307913709533765,0.0011836344374337867
Tennessee,0.006107261714239287,5.6354986935264615e-05,0.0002855930232220727,0.00039631759104881214,0.001109994702020334,0.004544594434234875,0.030683839512604196,0.007147156310559657,0.021604883121437057,0.0019318000806074853
Texas,0.004066521472675975,4.418238458704927e-05,0.000311352374606723,0.0004312971703480749,0.0011498169062708519,0.002441225011469999,0.03015355083668908,0.00623019808163941,0.021387610058431202,0.0025357426966184688
Utah,0.0021952808254581935,2.2414686646076853e-05,0.0003783327412686305,0.0005253866703254681,0.00044591641767119557,0.001201563050815453,0.02902803805606253,0.003958569508282906,0.022580079864207753,0.0024893886835718687
Virginia,0.0019838863567647738,4.202640266721165e-05,0.00020256726085596014,0.0002901022538399524,0.0005156039230085909,0.0011361537772490188,0.01944429568432072,0.0027869508740170925,0.015730002216592553,0.0009273425937110731
Vermont,0.0010258995767167065,1.595489232840912e-05,0.00013561658479147753,0.00018667224024238673,0.00011487522476454568,0.000708397219381365,0.015509750832446507,0.0033377634751031882,0.011766733092201727,0.0004052542651415917
Washington,0.0028577836058220917,2.520116333100482e-05,0.00028301755898134064,0.0003935912025853562,0.0007986503502820123,0.0016403408896237183,0.036988653530159135,0.007840818126035832,0.02482130534663917,0.004326530057484137
Wisconsin,0.0029105300661593017,2.7606889012666525e-05,0.0002111319310654245,0.00029117454637887904,0.0008856776154315217,0.0017060710153362346,0.02092827903862742,0.0037113034757594154,0.015497187917141829,0.0017197876457261758
West Virginia,0.003164298491251661,4.543608090002385e-05,0.0002255576873251184,0.0003212980006501687,0.000354293249875186,0.0024432711598262827,0.02070695296446087,0.00506720483180266,0.014579572911657655,0.0010601752210005566
Wyoming,0.0019544620608450396,2.7383006106410362e-05,0.00021735261096963226,0.0002977901914072127,9.070620772748432e-05,0.0015385826556039322,0.019642172567704484,0.0028906185821079436,0.015719556942961198,0.0010319970426353406
