,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.008670690114757124,9.43209235248686e-05,0.0014872632578993774,0.0011291171424861082,0.005959988790846769,0.029108257181718146,0.004870513775639229,0.020660383161664696,0.0035773602444142192
Alabama,0.0051081083010329,7.30137655421935e-05,0.0004217666679923356,0.0008037632681614094,0.0038095645993369617,0.02674445284034765,0.005318787685963307,0.018860597754316838,0.002565067400067507
Arkansas,0.005846304133734331,8.019076122902613e-05,0.0007724159686977683,0.0005159380794776599,0.004477759324329877,0.028580384942163244,0.005996081919170363,0.020125561501011992,0.0024587415219808843
Arizona,0.004553137592792795,5.014620021632933e-05,0.0005031106443621864,0.0008806497079086878,0.0031192310403055923,0.024405125243913178,0.003942865205502563,0.017968551325735015,0.0024937087126755994
California,0.004412077751231562,4.277157476054941e-05,0.00037454232833217206,0.0013236663500304704,0.00267109749810837,0.023312127996443024,0.0038609571524234414,0.015863496214829523,0.003587674629190061
Colorado,0.0038095165327946966,3.7855529407842274e-05,0.0006723697700328683,0.0006360770835822305,0.0024632141497717554,0.025906553104709087,0.003484097899261227,0.01858255005959641,0.003839905145851451
Connecticut,0.0018360373232225063,2.9170162177687238e-05,0.00021625187537496982,0.0005410504119303719,0.0010495648737394773,0.014265892198860848,0.0018065866787161874,0.01078650891218575,0.0016727966079589105
District of Columbia,0.010489564986985458,0.0002352111019640127,0.0004888423504673758,0.003844142889327509,0.00592136864522656,0.043671333576101416,0.0026114100055402135,0.0377542157339224,0.003305707836638805
Delaware,0.004225869923307906,4.929325791464872e-05,0.000318352290698773,0.0008112848698452603,0.0030469395048492243,0.022521884152628357,0.003047966447722446,0.017826701336258067,0.0016472163686478448
Florida,0.0037839182033004687,5.2240140569744383e-05,0.0003937100077163623,0.0007550609265771342,0.0025829071284372276,0.021456916061501265,0.0029517076217107975,0.016687139804347172,0.0018180686354432964
Georgia,0.003406664686901897,6.159686771451039e-05,0.000275208023641895,0.0007498052964452862,0.0023200544991002054,0.02375802489926228,0.0037208652231337114,0.017797821561785755,0.0022393381143428117
Hawaii,0.0028547778330244543,3.390136961533246e-05,0.0005403030782443611,0.000798801021561271,0.0014817723636034897,0.028412172851783213,0.0037715273697057363,0.020929858066265877,0.003710787415811599
Iowa,0.0026655510020379895,1.9017010716085538e-05,0.00036893000789205946,0.00027352800413303033,0.0020040759792968143,0.01733685781931938,0.003711486591422694,0.011995613409528157,0.0016297578183685306
Idaho,0.0022383069446270843,1.9585185765486987e-05,0.00045269757955082774,8.67343941042995e-05,0.0016792897852064698,0.012194855811064512,0.0021974578428876398,0.009118302915674583,0.0008790950525022872
