,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,260327021.0,1857670.0,23326.0,102216.0,618949.0,1113179.0,12131873.0,2712774.0,7879812.0,1539287.0
Alaska,0.0023278413346112083,0.002499905795970221,0.001629083426219669,0.004089379353525867,0.0014314588116306837,0.0029662794573020153,0.002468456437023368,0.0017871005841253271,0.0027696092241794603,0.0021276084316959737
Alabama,0.01620653892858859,0.015526977342585067,0.021478178856211953,0.014547624638021445,0.011669782162989197,0.017636876010057683,0.014673331974378565,0.016243151843832182,0.015222571299924414,0.009095120013356833
Arkansas,0.009422763686140749,0.007858231009813369,0.012603961244962703,0.010057133912499022,0.005102197434683633,0.009089283933671045,0.008499511987967563,0.00992010392314288,0.00869030885508436,0.005019206944513921
Arizona,0.015653388512443356,0.015424160372940296,0.01826288262025208,0.01433239414573061,0.010664852839248468,0.018111193258227114,0.024256188636330105,0.022175455824923123,0.024194612764873072,0.02823839868718439
California,0.12073660229070113,0.1713948117803485,0.1587498928234588,0.10745871487829695,0.18121040667324773,0.17207295502340594,0.13370581772493004,0.14164725848891208,0.11797743397938935,0.20022581883690305
Colorado,0.014043874454354087,0.01002976847341024,0.00853125267941353,0.015447679423964937,0.006317160218370172,0.011627959205123346,0.014491414474912489,0.012475421837572906,0.016193279738146035,0.009332242785133636
Connecticut,0.012580330644969813,0.008029413189640787,0.00921718254308497,0.007885262581200595,0.009936198297436461,0.0069575513012732,0.011047758248046283,0.010742509328089992,0.01075165245059146,0.013101520379240518
District of Columbia,0.0021895537305748987,0.008169911771197252,0.017105375975306526,0.0024360178445644518,0.01019631665936935,0.007382460502758316,0.003957261999033455,0.0036999027563667302,0.0037705214286838317,0.005366770459310057
Delaware,0.002711973568045401,0.0024487664655186334,0.0014147303438223442,0.005341629490490726,0.0018434475215243905,0.002541370255816899,0.0024704346970991207,0.002284746167576068,0.0026432102694835865,0.0019132234599525625
Florida,0.05359797053107292,0.08613801159517029,0.0499442681985767,0.07142717382797213,0.07411111416287933,0.09493441755548748,0.08169431051577938,0.08749014846057947,0.07951687172232028,0.08262656671562874
Georgia,0.027100529068782298,0.025355956655380128,0.030138043385063876,0.023949283869452925,0.02537042631945443,0.02537687110518614,0.031069069054712326,0.030008397308437785,0.03251448130996019,0.025539096997505988
Hawaii,0.004528919032189133,0.0016639123202721688,0.002143530823973249,0.0035121703060186273,0.0019726988814910435,0.0013124573855597347,0.006237454018847708,0.005171459177948476,0.007012857667162618,0.004146725074661191
Iowa,0.010867100883853313,0.004798484122583667,0.002014918974534854,0.00651561399389528,0.002143956933446859,0.0061751075074179445,0.007787338360696654,0.006956716630283245,0.008947802307973846,0.003310623684861887
Idaho,0.0043522182048094035,0.0017430437052867302,0.001714824659178599,0.003091492525631995,0.00033766917791288134,0.0024012310688577487,0.00354059097057808,0.003003198939535693,0.004136773821507417,0.0014357296592513286
Illinois,0.04514322007318633,0.0607901295709141,0.05907570950870274,0.038281678015183535,0.0707457318777476,0.05735735223176147,0.04518857063538334,0.04354067091471682,0.04617978195418875,0.04301861836031877
Indiana,0.02209528606713477,0.016259615539896754,0.019420389265197634,0.020016435783047664,0.0121011585768779,0.018160601304911428,0.019285975051008198,0.018033570065180513,0.02031050994617638,0.016248431903861982
Kansas,0.009810737241909282,0.0060904251024132385,0.007288004801509046,0.010321280425765047,0.004749987478774503,0.006422147740839524,0.00927119827251736,0.01055561576452738,0.009576243697184654,0.005446027933712167
Kentucky,0.014700740573526556,0.00914640382845177,0.010460430420989453,0.013207325663301244,0.005808232988501476,0.010602068490332642,0.009126785286987425,0.010586211752250649,0.009321161469334548,0.005559716933879127
Louisiana,0.01657530587268542,0.022807603072666296,0.03669724770642202,0.018813101667057994,0.018628352255193884,0.0252070870902164,0.020234962894847316,0.020343751451466285,0.02082295872033495,0.017033210830728774
Massachusetts,0.023205428221759583,0.023012160394472646,0.009174311926605505,0.017854347655944274,0.01641492271576495,0.027443924112833605,0.018590039641859093,0.01961903203141876,0.016493033082515166,0.02751143873754537
Maryland,0.01922965960571569,0.02554651794990499,0.02482208694161022,0.019908820536902246,0.03255033936560201,0.022185111289379337,0.021351937990119085,0.01925482918960444,0.02139746481261228,0.02481473565358507
Maine,0.00476323969458399,0.0008672153827105998,0.0012003772614250193,0.003111058934022071,0.00044914847588411967,0.0008866498559530857,0.003212282225506317,0.0032947823888020158,0.0035859992598808194,0.001153780938837267
Michigan,0.036477196886910944,0.03916249925982548,0.03974106147646403,0.06574313219065508,0.03511274757694091,0.038961388959008386,0.03662460033994751,0.03385796236619785,0.03682473642772188,0.04047588266515601
