,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,323405935.0,1285606.0,17413.0,96970.0,132414.0,332797.0,802982.0,7928530.0,1516405.0,5644835.0,767290.0
Alaska,0.002292852170446408,0.0046406130649670274,0.0029862746224085454,0.007775600701247809,0.007952331324482306,0.0025541095622857177,0.00499513065050026,0.0031375299078139325,0.0026727688183565738,0.003147301914050632,0.003984152015535195
Alabama,0.015029238718207197,0.020129028644856977,0.02337334175615919,0.014231205527482726,0.014462216986119292,0.014083660609921363,0.0234986587495112,0.018068797116237184,0.022451126183308547,0.01727207261151123,0.015269324505727952
Arkansas,0.009239876813021382,0.012883418403461092,0.012461953712743353,0.016499948437661133,0.01672028637455254,0.006385273905714295,0.014953012645364404,0.012372028610599948,0.015704247875732408,0.011885378403443147,0.009366732265505872
Arizona,0.021362137339872876,0.02531257632587278,0.02233963130994085,0.02537898319067753,0.024952044345764042,0.021169061019179862,0.027153784269136793,0.026148226720463946,0.025201710624800103,0.02668244510246978,0.024088675728863924
California,0.12150820917989646,0.13596389562587605,0.11083673117785563,0.10448592348148912,0.10347848414820185,0.16463189271537904,0.12998423376862744,0.1263878676122812,0.12417790761702843,0.11284829405996809,0.23036400839317597
Colorado,0.017099577965382733,0.014802357798579037,0.010853959685292597,0.027637413633082395,0.027451780023260382,0.010592042596537829,0.014547025960731375,0.019189685856016183,0.015711501874499226,0.019252998537601186,0.025597883459969502
Connecticut,0.011093442054487961,0.006354201831665378,0.004536840291736059,0.00598123130865216,0.005973688582778256,0.00814610708630186,0.005713702175142158,0.008182475187708187,0.006665105957841078,0.008439927827828448,0.009287231685542624
District of Columbia,0.002116027957248218,0.006406317332059744,0.007810256704760811,0.004124987109415283,0.004025254127207093,0.010516921727058837,0.005064870694486303,0.004083606923351492,0.0015569719171329558,0.004798900233576358,0.00381472455003975
Delaware,0.0029458272001099796,0.003779540543525777,0.003330844771147993,0.0023099927812725587,0.002348694246831906,0.0040835704648779884,0.0038992156735767427,0.0033259633248534093,0.0033157368908701833,0.003509757149677537,0.0019940309400617758
Florida,0.06387201583050725,0.06899469977582556,0.06380290587492103,0.056997009384345675,0.057380639509417436,0.0606225416695463,0.07449232984051947,0.0698505271468986,0.06615976602556704,0.07269512749265479,0.05621733633958477
Georgia,0.031890633052235114,0.03132219358030376,0.03916614024005054,0.025121171496339075,0.025533553853822104,0.03640056851474022,0.030001917851209616,0.0387593917157405,0.04135768478737541,0.03864187350028832,0.03448891553389201
Hawaii,0.004417615279694851,0.0026851150352440794,0.002009992534313444,0.004454986078168506,0.004538794991466159,0.002959762257472273,0.00228025036675791,0.005341847732177339,0.003945515874716847,0.005468893244886698,0.007166781790457323
Iowa,0.009680926232847272,0.007132822964423004,0.004192270142996612,0.009704032174899454,0.009651547419457156,0.003455559996033618,0.008305292023980611,0.008310241621082345,0.010093609556813649,0.008074638142656075,0.006519047556986277
Idaho,0.005194790256400211,0.003014920589978578,0.0028139895480388216,0.005455295452201712,0.005429939432386304,0.0006400298079610093,0.0036053112024927083,0.003702704032147195,0.0041664331098881895,0.003713483210758153,0.002706929583338764
Illinois,0.03968920978521931,0.043601227747848095,0.060931487968758975,0.038290192843147365,0.037783013880707476,0.05357319927763772,0.0400519563327696,0.03320363295591995,0.03178108750630603,0.03457957584234083,0.025892426592292354
Indiana,0.02051294142143681,0.020625292663537662,0.02475162235111698,0.01869650407342477,0.018495023184859606,0.02190825037485314,0.02035537533842602,0.021247318229230386,0.022135906964168544,0.021338799096873515,0.018818178263759464
Kansas,0.008990963632130004,0.009073541971646056,0.007580543272267846,0.012302774053831081,0.012219251740752488,0.005279494706983537,0.010159629979252337,0.010379351531746742,0.00973288798177268,0.010650267014004839,0.00966388197422096
Kentucky,0.013716857113336525,0.008130018061521182,0.015218514902658933,0.012808084974734454,0.013201021040071292,0.010129298040547241,0.006311473980736803,0.01232422655902166,0.013803700198825512,0.011839672904522452,0.0129651109749899
Louisiana,0.014490015466166383,0.020594956775248405,0.0318727387583989,0.013705269671032277,0.013737218118930023,0.016751953893815147,0.023073991695953335,0.019487975702936106,0.022875814838384204,0.019396846852033762,0.013462967065907284
Massachusetts,0.021099554032612294,0.02020447944393539,0.00775282834663757,0.01651026090543467,0.016168985152627366,0.01612093859019162,0.02283239225785883,0.013423673745322273,0.012664162938001391,0.014022553360727108,0.010518839030874897
Maryland,0.01862907061368555,0.02257223441707646,0.030781599954057312,0.01358152005774982,0.013797634691195795,0.03249728813661181,0.019727714942551638,0.017621929916390555,0.01637557248887995,0.017891576990292896,0.01810136975589412
Maine,0.004113196005509299,0.0012826635843329916,0.001148567162464825,0.0031040527998350007,0.0031190055432205053,0.000805295720814791,0.0011805993160494258,0.0027631856094383197,0.0026384771878225142,0.0030348096977148137,0.0010113516401881947
Michigan,0.03071509803924903,0.03561122147843118,0.03514615517142365,0.05380014437454883,0.05488845590345432,0.021403438131954316,0.03833087167582835,0.023995494751233835,0.02620540027235468,0.023074013677990588,0.026407225429759283
Minnesota,0.017083947454458435,0.010395875563741924,0.005800264170447367,0.017861194183768175,0.017739816031537452,0.01120803372626556,0.008947896714994857,0.01484802353021304,0.012253982280459376,0.01601836014693078,0.011364673070156003
Missouri,0.01883445954694678,0.024673189141929952,0.030896456670303794,0.019428689285345982,0.019310646910447534,0.019759793507753975,0.027458896961575725,0.021524923283382923,0.020915256808042706,0.02137334395070892,0.023844960836189706
Mississippi,0.009231169489823988,0.006542439907716672,0.013610520875208178,0.00938434567391977,0.009681755705590043,0.007310763017695472,0.005553051002388596,0.010408108438764815,0.015489925184894537,0.009694703210988453,0.005613262260683705
Montana,0.0032116170038747126,0.00302269902287326,0.0021248492505599264,0.004403423739300815,0.004516138776866494,0.000805295720814791,0.00371490270018506,0.0035512257631616453,0.002615396282655359,0.003795859400673359,0.003600985285876266
North Carolina,0.03140538840142189,0.0293768075133439,0.03893642680755757,0.021511807775600703,0.021500747655081788,0.02805313749823466,0.031016884562792193,0.035033606481907745,0.04753479446453949,0.033725875069864755,0.019948129129794472
North Dakota,0.0023362218136163764,0.00148179146643684,0.00091885372997186,0.0027637413633082395,0.002688537465826876,0.0005438750950278999,0.001683723919091586,0.002201038527949065,0.0021419079995120037,0.00216994828015345,0.00254662513521615
Nebraska,0.005898478641092347,0.0044033708616792394,0.0028139895480388216,0.008384036299886563,0.00836769525880949,0.0028425737010850456,0.004430983508970313,0.005448298738858275,0.004259416184990158,0.005670493468808211,0.006163249879445842
New Hampshire,0.004127985468170212,0.002075285896301044,0.001091138804341584,0.004568423223677426,0.0045992115637319315,0.0012950837898178169,0.002003780906670386,0.0025632746549486473,0.0019711093012750552,0.0029148770513221377,0.0011468936125845508
