,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Alaska,0.0022752346621577497,0.004936617661376692,0.0035850584017578352,0.007916500818185838,0.0029694693633108334,0.005244848016645296,0.0034105220520974392,0.002982724250113633,0.003225467077816071,0.005503639983802169
Alabama,0.014993581936098397,0.019837601012559634,0.024228055973169887,0.014749458228295962,0.0132035334190071,0.023220484772046565,0.018713292276390382,0.022382958315587544,0.018085797206602576,0.01655620142753088
Arkansas,0.009235809902803968,0.013238048875474638,0.014398057129640337,0.015774033287632862,0.006232142634343536,0.015560538503971892,0.012289359296148841,0.01601165316793661,0.011753128967894069,0.009386203122351841
Arizona,0.02167903556494969,0.027765164054132995,0.02440152654099688,0.026697919891498237,0.023206777377135085,0.029819120617929483,0.026682197082697513,0.027001277696853,0.026891166334119355,0.02461501042120829
California,0.12117391314684284,0.1391077791841106,0.10581704637446514,0.10853124585378798,0.1766241624973487,0.1300944442867562,0.12847384377015816,0.12646621977101669,0.1164554688917105,0.21782330650513687
Colorado,0.017271879826978385,0.016279622237367345,0.012836822019197409,0.029638966284846607,0.012065028883704101,0.01578390732538667,0.01978813451224966,0.016189886510455997,0.019493923453655,0.02839019177352017
Connecticut,0.010991578178543984,0.006379125693700711,0.006071469873944721,0.006265387053499034,0.008774282898102285,0.005457110101083647,0.008284016583131458,0.006374884130432449,0.008601124614547434,0.009472884805218497
District of Columbia,0.0021396191295201413,0.0054335507740239505,0.006707528622643692,0.0032727433550042016,0.008187875082658549,0.004678404430847605,0.00387036918448916,0.0012948759703517066,0.004596408489025938,0.0033469479638213945
Delaware,0.002943522910664185,0.0034092103982085484,0.0029489996530588643,0.0025872363009154836,0.0033749641293091617,0.00357019889697761,0.00304959476703595,0.0028345543629589597,0.0032846000362778886,0.0017620962994683955
Florida,0.06451483234876929,0.06667783078570733,0.06111946339771019,0.05849660194890392,0.058007585871314674,0.07159649471381024,0.0686093743736161,0.06358778707915637,0.07171685107926719,0.05552155851078281
Georgia,0.03202567184963634,0.028910914224515628,0.03937781889672719,0.019503781345362875,0.030705311357596476,0.029552558930495274,0.038741567733803564,0.03962864474659013,0.03922582985670234,0.03368424321068953
Hawaii,0.004380180256924372,0.002786096777334242,0.002255117381750896,0.004179381716863473,0.0033593681767707644,0.002337351092594398,0.0052573295702140884,0.0039719550909240574,0.005364411391257029,0.0068168027914089395
Iowa,0.009668352560931948,0.007039626131827475,0.005666705215681739,0.009619211888019105,0.003958252754245218,0.00785616528799152,0.008545112917005727,0.010530083139770014,0.008242517685470706,0.0071156605338297905
Idaho,0.005286542272659397,0.0032020251192678415,0.0024285879495778884,0.005565137912225613,0.0006924602927048373,0.003815781192345237,0.0037169132634334453,0.004178104499139254,0.003731180845274805,0.0027815763904971
Illinois,0.03932434019614155,0.04344426053938273,0.056840522724644384,0.03998054044491619,0.05530636689166427,0.039045116799680125,0.03320426896410615,0.031033359698506492,0.034619989116633415,0.02703045373332833
Indiana,0.020483287625357754,0.02049031253042547,0.023881114837515902,0.019253165863222916,0.02194350522152491,0.020050128406220266,0.020686222599853078,0.02133002158126617,0.020750045347360784,0.019067382717742446
Kansas,0.008951913801506488,0.009077207672086456,0.0077483520296056435,0.011086049562897115,0.005093638099040537,0.010345308452597063,0.010332828842111948,0.009378366480678862,0.010682205695628515,0.009566035270388632
Kentucky,0.013698026869504405,0.00801635673254795,0.015323233491384295,0.01339318620730323,0.00925463823628492,0.006470291329710892,0.012481992683055082,0.014698882283677333,0.011791402140395429,0.013400729419892541
Louisiana,0.014365244833276565,0.020240288190049655,0.03330634902278247,0.01363643064585084,0.016796840883853824,0.022429438282947828,0.020470160828052836,0.024433715449394974,0.020323235987665517,0.014354227931425732
Massachusetts,0.02110812477407727,0.018941096290526725,0.009945645888747542,0.01620892485958162,0.015202934534429625,0.021069480044278856,0.012752460370886952,0.012108414546417617,0.013345365499727917,0.009687648377694086
Maryland,0.018529738111997613,0.0236167851231623,0.032265525615820516,0.01261922663010629,0.03490062259042533,0.020809088766275997,0.01753289215081424,0.01683982978357891,0.017713948848177036,0.017494174861535716
Maine,0.004106027437345816,0.0012540161620095414,0.0013299410200069389,0.0034643904884053486,0.0007766784364121823,0.00107118307728191,0.0026216362696388435,0.0023886131083823356,0.002904407763468166,0.0010259488733321861
Michigan,0.03068287047819193,0.034959010807126864,0.03290158436451949,0.05240811994162133,0.020299691823977842,0.03788137758092801,0.02340742950529143,0.02564913800199707,0.022566660620351897,0.025352451603805195
Minnesota,0.017125032455692572,0.010394314088209521,0.006591881577425697,0.01772735983960609,0.011313303971353354,0.008884155499253997,0.015935206458737146,0.013477017562068509,0.016978414656267007,0.012937564606963256
Missouri,0.018787224629923757,0.02527504624671405,0.034636290042789404,0.02017454631226689,0.01984429000985664,0.028077831076403242,0.02256674096067832,0.021535455192925067,0.02237547614728823,0.02579491631336334
Mississippi,0.009194800774508472,0.005967091811897576,0.010986469295709494,0.004850146683767488,0.007773022745137182,0.00533246783057043,0.0107723713742622,0.016068916892440832,0.010152004353346636,0.005623959334646928
Montana,0.0032388107782138414,0.00306649790672768,0.002370764426968891,0.004710096855512803,0.0007298905787969906,0.003730629542192643,0.0035525240960938634,0.002593330923484927,0.003822419735171413,0.003361179284889054
North Carolina,0.03158816220919268,0.029631389348651543,0.035966231062796346,0.014329308743531909,0.030830078977903654,0.031583857715294844,0.034554655037857665,0.04670357790908668,0.033397242880464355,0.02085147287704268
North Dakota,0.00232256708187184,0.001661376691656119,0.0005782352260899734,0.002992643698494833,0.0005708118629053388,0.0018930816135373848,0.002167516075776768,0.002109452451424256,0.002166515508797388,0.0022795988837469258
Nebraska,0.005897561061289545,0.0046569954240093464,0.0024285879495778884,0.008778912918491,0.003181574317833036,0.004598189108240088,0.005708195821729775,0.0046619829711999254,0.005816071104661709,0.0068297403560159025
New Hampshire,0.004151250042899811,0.0020578327329373964,0.0007517057939169655,0.004562675983665767,0.0013755630138866362,0.0019362744795568165,0.00241442522102078,0.0018281444047972685,0.0027366225285688373,0.00117602462277296
New Jersey,0.02733698816911868,0.01604829130561776,0.018734821325315138,0.011093420606489466,0.024626009058129235,0.013426810922611958,0.01823327070145105,0.01710109552662942,0.018869036822056956,0.015745016126674283
New Mexico,0.006438300894566432,0.012695940025313992,0.008326587255695617,0.009169578228885646,0.011640818974659696,0.013797035488492803,0.010655359607486046,0.012792716054243062,0.00948376564483947,0.015148594398293276
Nevada,0.009141723263174764,0.012978677830785707,0.015381057013993293,0.013975498651099023,0.015100001247676203,0.011921231021363192,0.010193950582768058,0.014351005157314188,0.008245782695447125,0.016575607774441323
New York,0.06025186057237148,0.05510349527796709,0.03180293743494854,0.04641546150103932,0.06276435139552583,0.05402440273521909,0.038186965800284994,0.025001342118543067,0.04445728278614185,0.017296230123049178
Ohio,0.03587338852678938,0.026966020835361697,0.04284723025326703,0.04299529727418808,0.035009794258194116,0.02076095957271149,0.03651665211503649,0.0411733337150915,0.036698712134953744,0.026801458839785082
Oklahoma,0.012094955624718571,0.01401148865738487,0.014051115993986354,0.016363716775021006,0.009379405856592098,0.01544947113420764,0.014787345756624897,0.020578435197148266,0.013159078541628877,0.015933904569935944
Oregon,0.012752971600200636,0.009057735371434134,0.006071469873944721,0.014683118835964796,0.007716877315998952,0.008710149953290001,0.01594744128195957,0.012465597028012698,0.015978777435153274,0.02201714744813007
Pennsylvania,0.039337414277766276,0.0311790478044981,0.04290505377587603,0.03107631978535521,0.03673470660894085,0.028747937540647573,0.027374245540927565,0.022851805059965858,0.030007981135497915,0.016763202461242292
Rhode Island,0.0032492552809655663,0.0019269788725537922,0.0012142939747889442,0.0033464537909277197,0.001478496300640058,0.0018819748765609593,0.002418980740305725,0.002304149114738609,0.002518048249591874,0.0019199345876733471
South Carolina,0.015442913917112618,0.01979320416707234,0.021972938591418988,0.01898780829389825,0.012114935931826972,0.02291936879179681,0.020873129048229674,0.022307799677175753,0.020847270088880827,0.01846449220705796
South Dakota,0.002685818030048004,0.0029231817739265894,0.0015612351104429283,0.004238350065602288,0.000823466294027374,0.003562794405659993,0.0021590558256761564,0.0020292832371183464,0.002228369308906222,0.001899234484302206
Tennessee,0.02063310288390959,0.034224515626521276,0.03110905516364057,0.022319519997641268,0.02453867172391421,0.04011629987696204,0.025774867798830352,0.027786506519117137,0.025509885724650825,0.024028938744512854
Texas,0.0871073897652626,0.0965701489631,0.08124204926564127,0.10714548965842584,0.10018839910666384,0.09369519905123784,0.09412262520779675,0.09552877681105476,0.09464302557591148,0.08786935129757305
Utah,0.009543735126598276,0.005853373576088015,0.004278940673065803,0.012958294635354474,0.004672547380503812,0.00516463269403778,0.011219723368043787,0.008432083433246603,0.011782151278795575,0.012246698656951419
Virginia,0.02603500524305734,0.013872845876740337,0.02717705562622875,0.022304777910456562,0.013509214088759686,0.012321073552514503,0.0198510006783819,0.013259415408952467,0.022458189733357517,0.013169147013427899
Vermont,0.0019207459013607566,0.0008427611722324992,0.0009829998843529548,0.0018722450724573585,0.0003119190507679447,0.0008774322211376013,0.0012155427029171464,0.001392224302008883,0.0013003809178305822,0.00029109520365667324
Washington,0.022837145158052928,0.017511829422646286,0.013068116109633399,0.024324443854760958,0.016799960074361502,0.016747725278563132,0.030613870540992644,0.03127100415519901,0.02941302376201705,0.0379911584683476
Wisconsin,0.01781363150990348,0.01451698958231915,0.01110211634092749,0.01604676190054988,0.013630862518559184,0.01468434036472056,0.013654583346999892,0.012576545494239626,0.014124433157990205,0.012251873682794203
West Virginia,0.005588387171971915,0.005112647259273683,0.005666705215681739,0.0058452375687349815,0.0020992152116682677,0.006170409431347407,0.004237934511937283,0.005409274575980015,0.003975512425176854,0.0039925324377088605
Wyoming,0.0017805293745781006,0.001057735371434135,0.0008095293165259628,0.0018648740288650066,0.0003056806697525858,0.0012254433130655953,0.0013703002009114163,0.0011137794416071064,0.0014893887175766371,0.0009845486665899037
TOTAL,325147121.0,1283875.0,17294.0,135666.0,320596.0,810319.0,7682988.0,1397045.0,5513000.0,772943.0
