,    Civilian employed population 16 years and over,        Private wage and salary workers,        Government workers,        Self-employed in own not incorporated business workers,        Unpaid family workers
Alabama,"2,153,467","1,689,830","349,457","110,510","3,670"
Alaska,"338,011","238,117","79,654","19,562",678
Arizona,"3,305,302","2,644,274","450,722","203,293","7,013"
Arkansas,"1,325,091","1,038,017","208,954","74,639","3,481"
California,"19,078,101","14,896,561","2,658,324","1,485,102","38,114"
Colorado,"3,032,173","2,411,284","421,600","191,247","8,042"
Connecticut,"1,823,915","1,465,034","242,383","113,085","3,413"
Delaware,"466,061","371,112","72,574","21,171","1,204"
District of Columbia,"387,826","274,997","96,542","15,857",430
Florida,"9,958,518","8,227,794","1,119,993","589,633","21,098"
Georgia,"5,002,153","4,023,331","701,028","268,549","9,245"
Hawaii,"671,768","494,513","129,813","45,550","1,892"
Idaho,"848,223","658,591","121,621","65,173","2,838"
Illinois,"6,286,647","5,224,130","779,441","270,104","12,972"
Indiana,"3,272,727","2,754,857","366,693","143,750","7,427"
Iowa,"1,618,556","1,283,061","231,465","100,879","3,151"
Kansas,"1,455,746","1,134,229","231,838","85,918","3,761"
Kentucky,"1,997,773","1,602,718","289,190","99,940","5,925"
Louisiana,"2,040,325","1,594,140","311,207","131,142","3,836"
Maine,"684,413","532,671","94,151","55,994","1,597"
Maryland,"3,098,870","2,255,014","673,397","160,785","9,674"
Massachusetts,"3,700,243","3,018,935","465,499","207,820","7,989"
Michigan,"4,755,016","3,993,139","524,331","227,512","10,034"
Minnesota,"3,010,452","2,472,008","380,237","151,267","6,940"
Mississippi,"1,240,752","950,867","220,123","66,359","3,403"
Missouri,"2,942,459","2,407,734","373,017","154,076","7,632"
Montana,"520,261","388,219","87,663","42,764","1,615"
Nebraska,"1,008,957","798,155","144,803","63,559","2,440"
Nevada,"1,479,868","1,227,282","169,411","80,534","2,641"
New Hampshire,"735,493","589,980","94,116","50,071","1,326"
New Jersey,"4,496,699","3,674,467","610,295","204,834","7,103"
New Mexico,"907,775","649,630","204,446","51,868","1,831"
New York,"9,611,029","7,567,507","1,512,254","513,585","17,683"
North Carolina,"4,937,837","3,989,591","651,993","283,117","13,136"
North Dakota,"405,699","307,602","66,805","29,984","1,308"
Ohio,"5,692,943","4,701,406","705,107","275,352","11,078"
Oklahoma,"1,791,228","1,358,580","306,551","121,071","5,026"
Oregon,"2,045,338","1,601,449","296,795","141,844","5,250"
Pennsylvania,"6,285,109","5,277,877","689,598","305,228","12,406"
Rhode Island,"547,914","448,187","73,485","25,033","1,209"
South Carolina,"2,359,714","1,872,212","352,681","127,835","6,986"
South Dakota,"452,975","341,554","72,399","37,642","1,380"
Tennessee,"3,215,401","2,569,296","417,635","220,240","8,230"
Texas,"13,830,576","11,042,055","1,839,870","910,897","37,754"
Utah,"1,598,530","1,281,132","236,904","77,420","3,074"
Vermont,"331,247","256,783","48,564","25,276",624
Virginia,"4,229,399","3,181,621","835,561","202,609","9,608"
Washington,"3,749,409","2,944,011","580,769","215,077","9,552"
West Virginia,"744,981","567,672","144,122","30,783","2,404"
Wisconsin,"3,002,074","2,480,684","369,815","144,401","7,174"
Wyoming,"283,750","200,625","61,560","21,026",539
