,    Workers 16 years and over,"        Car, truck, or van -- drove alone","        Car, truck, or van -- carpooled",        Public transportation (excluding taxicab),        Walked,        Other means,        Worked from home,        Mean travel time to work (minutes)
Alabama,"2,134,022",85.2%,8.7%,0.4%,1.2%,1.1%,3.4%,(X)
Alaska,"349,811",70.0%,12.0%,1.0%,7.1%,5.7%,4.3%,(X)
Arizona,"3,276,420",75.6%,10.6%,1.7%,1.9%,2.5%,7.6%,(X)
Arkansas,"1,313,514",82.4%,10.7%,0.4%,1.9%,1.0%,3.5%,(X)
California,"18,730,251",73.5%,9.8%,5.2%,2.6%,2.6%,6.3%,(X)
Colorado,"3,011,612",74.2%,8.6%,3.2%,2.7%,2.2%,9.1%,(X)
Connecticut,"1,796,247",78.3%,7.5%,4.5%,2.8%,1.2%,5.6%,(X)
Delaware,"463,907",80.7%,8.5%,2.4%,2.3%,1.0%,5.2%,(X)
District of Columbia,"385,878",33.0%,5.5%,34.2%,13.4%,6.6%,7.4%,(X)
Florida,"9,857,575",78.1%,9.1%,1.6%,1.6%,2.6%,7.0%,(X)
Georgia,"4,958,285",78.4%,9.3%,2.0%,1.5%,2.0%,6.9%,(X)
Hawaii,"702,060",69.3%,13.3%,5.4%,4.6%,2.8%,4.8%,(X)
Idaho,"839,211",78.3%,9.2%,0.8%,2.7%,1.7%,7.4%,(X)
Illinois,"6,204,747",72.4%,7.6%,9.6%,3.0%,1.9%,5.4%,(X)
Indiana,"3,227,470",81.6%,9.5%,0.9%,2.3%,1.4%,4.3%,(X)
Iowa,"1,589,421",80.2%,8.6%,1.1%,3.2%,1.2%,5.8%,(X)
Kansas,"1,448,010",82.7%,8.5%,0.5%,2.2%,1.0%,5.1%,(X)
Kentucky,"1,973,550",82.0%,9.0%,1.0%,2.3%,1.4%,4.3%,(X)
Louisiana,"2,024,266",82.1%,8.8%,1.2%,2.1%,1.9%,3.9%,(X)
Maine,"668,174",78.5%,9.5%,0.6%,3.8%,1.3%,6.3%,(X)
Maryland,"3,074,208",73.9%,8.7%,8.0%,2.2%,1.7%,5.5%,(X)
Massachusetts,"3,637,191",69.6%,7.3%,10.4%,5.0%,2.2%,5.4%,(X)
Michigan,"4,662,155",81.8%,8.9%,1.4%,2.2%,1.3%,4.5%,(X)
Minnesota,"2,958,990",77.6%,8.2%,3.4%,2.6%,1.7%,6.4%,(X)
Mississippi,"1,234,933",84.8%,8.9%,0.2%,1.1%,1.8%,3.1%,(X)
Missouri,"2,915,277",82.1%,8.4%,1.1%,2.1%,1.2%,5.1%,(X)
Montana,"514,545",76.2%,9.9%,0.9%,4.2%,2.3%,6.5%,(X)
Nebraska,"1,001,268",81.8%,9.0%,0.8%,2.8%,1.0%,4.6%,(X)
Nevada,"1,461,037",77.0%,10.6%,3.1%,1.6%,2.9%,4.9%,(X)
New Hampshire,"723,275",80.4%,7.8%,0.9%,2.4%,1.2%,7.3%,(X)
New Jersey,"4,421,054",71.0%,7.9%,11.6%,2.7%,2.0%,4.9%,(X)
New Mexico,"907,965",80.7%,9.4%,1.1%,2.0%,1.8%,5.1%,(X)
New York,"9,434,909",52.8%,6.3%,27.7%,6.2%,2.3%,4.8%,(X)
North Carolina,"4,937,952",80.2%,8.7%,1.1%,1.8%,1.5%,6.7%,(X)
North Dakota,"405,490",82.5%,8.5%,0.7%,3.2%,1.5%,3.6%,(X)
Ohio,"5,589,179",82.4%,8.0%,1.5%,2.3%,1.2%,4.6%,(X)
Oklahoma,"1,786,689",82.7%,9.5%,0.4%,1.5%,1.6%,4.4%,(X)
Oregon,"2,011,340",71.5%,9.5%,4.7%,3.8%,3.3%,7.3%,(X)
Pennsylvania,"6,179,069",75.2%,8.4%,5.7%,3.6%,1.6%,5.4%,(X)
Rhode Island,"536,938",79.6%,8.2%,3.1%,3.3%,1.4%,4.5%,(X)
South Carolina,"2,357,976",82.1%,8.6%,0.6%,2.0%,1.6%,5.1%,(X)
South Dakota,"448,247",79.8%,9.0%,0.4%,3.2%,1.6%,6.1%,(X)
Tennessee,"3,178,187",82.0%,8.9%,0.6%,1.4%,1.4%,5.6%,(X)
Texas,"13,715,977",80.1%,9.7%,1.3%,1.5%,1.6%,5.7%,(X)
Utah,"1,583,586",76.1%,10.4%,2.5%,2.0%,1.6%,7.4%,(X)
Vermont,"324,202",76.2%,8.6%,1.6%,5.3%,1.3%,7.0%,(X)
Virginia,"4,291,816",76.6%,9.0%,4.4%,2.3%,1.9%,5.8%,(X)
Washington,"3,723,697",70.9%,10.0%,7.1%,3.5%,2.0%,6.5%,(X)
West Virginia,"730,751",82.0%,9.0%,0.8%,2.9%,1.4%,3.9%,(X)
Wisconsin,"2,959,481",80.8%,8.0%,1.7%,3.0%,1.5%,5.1%,(X)
Wyoming,"279,531",76.9%,11.5%,1.2%,3.0%,1.7%,5.7%,(X)
