,    Population 16 years and over,        In labor force,            Civilian labor force,                Employed,                Unemployed,            Armed Forces,        Not in labor force,    Civilian labor force,        Unemployment Rate,    Females 16 years and over,        In labor force,            Civilian labor force,                Employed,    Own children of the householder under 6 years,        All parents in family in labor force,    Own children of the householder 6 to 17 years,        All parents in family in labor force
Alabama,"3,937,453","2,281,982","2,265,089","2,153,467","111,622","16,893","1,655,471","2,265,089",(X),"2,063,101","1,087,987","1,085,343","1,030,086","324,168","213,695","674,430","476,431"
Alaska,"569,699","377,728","358,661","338,011","20,650","19,067","191,971","358,661",(X),"272,379","167,322","164,232","154,922","58,881","33,140","110,767","76,901"
Arizona,"5,820,607","3,506,306","3,482,170","3,305,302","176,868","24,136","2,314,301","3,482,170",(X),"2,944,829","1,635,070","1,632,039","1,547,679","488,165","309,808","1,055,780","714,679"
Arkansas,"2,401,299","1,398,200","1,392,233","1,325,091","67,142","5,967","1,003,099","1,392,233",(X),"1,237,700","667,522","666,598","636,724","205,829","137,357","438,139","301,552"
California,"31,617,786","20,246,507","20,095,761","19,078,101","1,017,660","150,746","11,371,279","20,095,761",(X),"16,007,328","9,307,965","9,286,035","8,809,413","2,711,253","1,723,889","5,732,274","3,893,571"
Colorado,"4,645,780","3,182,096","3,147,670","3,032,173","115,497","34,426","1,463,684","3,147,670",(X),"2,313,408","1,459,973","1,454,140","1,400,124","384,273","246,035","815,722","588,893"
Connecticut,"2,926,854","1,937,195","1,926,486","1,823,915","102,571","10,709","989,659","1,926,486",(X),"1,510,008","936,694","936,108","890,006","209,755","157,890","483,824","375,010"
Delaware,"792,119","494,432","488,692","466,061","22,631","5,740","297,687","488,692",(X),"413,238","243,601","242,188","230,706","59,484","39,161","130,306","97,924"
District of Columbia,"587,819","416,359","413,742","387,826","25,916","2,617","171,460","413,742",(X),"313,011","216,969","216,353","204,736","51,319","41,886","67,552","54,985"
Florida,"17,719,854","10,500,485","10,429,967","9,958,518","471,449","70,518","7,219,369","10,429,967",(X),"9,143,999","5,032,159","5,021,221","4,793,733","1,274,181","885,641","2,696,839","1,992,304"
Georgia,"8,394,269","5,308,730","5,254,134","5,002,153","251,981","54,596","3,085,539","5,254,134",(X),"4,369,219","2,569,829","2,563,349","2,440,392","737,376","504,835","1,604,299","1,168,039"
Hawaii,"1,147,569","745,236","698,880","671,768","27,112","46,356","402,333","698,880",(X),"578,513","352,215","345,072","332,767","95,704","60,806","183,402","135,518"
Idaho,"1,386,665","881,838","877,350","848,223","29,127","4,488","504,827","877,350",(X),"694,880","406,146","405,724","393,057","138,701","85,467","287,987","200,038"
Illinois,"10,184,783","6,628,213","6,606,716","6,286,647","320,069","21,497","3,556,570","6,606,716",(X),"5,232,024","3,174,179","3,169,882","3,029,659","855,688","602,110","1,832,453","1,373,378"
Indiana,"5,346,452","3,419,651","3,414,811","3,272,727","142,084","4,840","1,926,801","3,414,811",(X),"2,740,936","1,628,072","1,627,431","1,560,135","468,169","326,973","996,232","729,501"
Iowa,"2,516,898","1,682,701","1,680,913","1,618,556","62,357","1,788","834,197","1,680,913",(X),"1,274,018","800,272","800,141","772,847","225,177","170,169","463,260","374,420"
Kansas,"2,292,476","1,533,054","1,512,483","1,455,746","56,737","20,571","759,422","1,512,483",(X),"1,163,349","718,353","716,747","692,814","211,677","148,959","450,708","348,576"
Kentucky,"3,581,569","2,112,749","2,098,310","1,997,773","100,537","14,439","1,468,820","2,098,310",(X),"1,840,466","1,011,076","1,008,819","963,095","305,368","206,700","609,271","429,984"
Louisiana,"3,684,053","2,179,183","2,158,336","2,040,325","118,011","20,847","1,504,870","2,158,336",(X),"1,911,777","1,057,414","1,053,670","1,002,230","332,717","225,127","674,214","498,052"
Maine,"1,128,168","711,235","708,884","684,413","24,471","2,351","416,933","708,884",(X),"582,254","345,184","345,038","332,807","71,473","47,499","159,304","122,918"
Maryland,"4,862,424","3,279,799","3,246,226","3,098,870","147,356","33,573","1,582,625","3,246,226",(X),"2,538,187","1,615,733","1,609,469","1,533,309","408,035","299,432","853,507","675,826"
Massachusetts,"5,707,254","3,857,469","3,852,055","3,700,243","151,812","5,414","1,849,785","3,852,055",(X),"2,965,662","1,890,422","1,889,788","1,821,751","403,118","299,624","888,138","693,352"
Michigan,"8,095,913","5,010,213","5,005,268","4,755,016","250,252","4,945","3,085,700","5,005,268",(X),"4,146,543","2,385,013","2,384,177","2,274,479","659,175","457,790","1,387,936","1,011,915"
Minnesota,"4,479,456","3,112,899","3,109,179","3,010,452","98,727","3,720","1,366,557","3,109,179",(X),"2,265,426","1,489,915","1,489,413","1,449,762","407,933","310,867","837,515","676,903"
Mississippi,"2,360,508","1,342,991","1,328,569","1,240,752","87,817","14,422","1,017,517","1,328,569",(X),"1,235,646","660,328","657,495","615,241","203,048","142,102","436,862","308,890"
Missouri,"4,918,035","3,078,235","3,058,521","2,942,459","116,062","19,714","1,839,800","3,058,521",(X),"2,536,484","1,493,807","1,488,785","1,432,695","416,471","294,277","862,671","650,214"
Montana,"869,402","545,370","542,265","520,261","22,004","3,105","324,032","542,265",(X),"434,747","257,147","256,268","246,887","65,650","44,164","144,717","105,600"
Nebraska,"1,509,290","1,049,680","1,043,090","1,008,957","34,133","6,590","459,610","1,043,090",(X),"761,559","492,756","491,591","477,147","149,576","114,043","299,354","242,548"
Nevada,"2,465,233","1,568,228","1,558,868","1,479,868","79,000","9,360","897,005","1,558,868",(X),"1,234,632","719,579","717,532","684,499","211,581","135,236","441,272","317,086"
New Hampshire,"1,137,316","759,931","758,102","735,493","22,609","1,829","377,385","758,102",(X),"577,553","360,200","360,200","350,846","73,712","54,835","168,678","132,802"
New Jersey,"7,168,432","4,731,226","4,717,175","4,496,699","220,476","14,051","2,437,206","4,717,175",(X),"3,702,410","2,250,372","2,248,115","2,147,474","593,645","419,062","1,272,934","936,638"
New Mexico,"1,678,187","972,732","960,264","907,775","52,489","12,468","705,455","960,264",(X),"855,331","457,748","455,326","431,959","135,114","84,883","306,294","208,811"
New York,"15,895,561","10,085,219","10,056,194","9,611,029","445,165","29,025","5,810,342","10,056,194",(X),"8,270,431","4,905,010","4,901,398","4,693,995","1,273,622","877,406","2,533,916","1,804,894"
North Carolina,"8,457,219","5,272,092","5,174,709","4,937,837","236,872","97,383","3,185,127","5,174,709",(X),"4,401,459","2,535,166","2,526,741","2,412,134","683,764","460,380","1,479,224","1,081,386"
North Dakota,"602,982","424,480","416,619","405,699","10,920","7,861","178,502","416,619",(X),"296,049","193,059","191,349","186,569","59,134","45,021","110,341","92,408"
Ohio,"9,407,641","5,976,393","5,965,597","5,692,943","272,654","10,796","3,431,248","5,965,597",(X),"4,844,046","2,872,472","2,869,625","2,743,260","786,440","539,322","1,631,303","1,211,949"
