,    Population 16 years and over,        In labor force,            Civilian labor force,                Employed,                Unemployed,            Armed Forces,        Not in labor force,    Civilian labor force,        Unemployment Rate,    Females 16 years and over,        In labor force,            Civilian labor force,                Employed,    Own children of the householder under 6 years,        All parents in family in labor force,    Own children of the householder 6 to 17 years,        All parents in family in labor force
Alabama,"3,937,453",58.0%,57.5%,54.7%,2.8%,0.4%,42.0%,"2,265,089",4.9%,"2,063,101",52.7%,52.6%,49.9%,"324,168",65.9%,"674,430",70.6%
Alaska,"569,699",66.3%,63.0%,59.3%,3.6%,3.3%,33.7%,"358,661",5.8%,"272,379",61.4%,60.3%,56.9%,"58,881",56.3%,"110,767",69.4%
Arizona,"5,820,607",60.2%,59.8%,56.8%,3.0%,0.4%,39.8%,"3,482,170",5.1%,"2,944,829",55.5%,55.4%,52.6%,"488,165",63.5%,"1,055,780",67.7%
Arkansas,"2,401,299",58.2%,58.0%,55.2%,2.8%,0.2%,41.8%,"1,392,233",4.8%,"1,237,700",53.9%,53.9%,51.4%,"205,829",66.7%,"438,139",68.8%
California,"31,617,786",64.0%,63.6%,60.3%,3.2%,0.5%,36.0%,"20,095,761",5.1%,"16,007,328",58.1%,58.0%,55.0%,"2,711,253",63.6%,"5,732,274",67.9%
Colorado,"4,645,780",68.5%,67.8%,65.3%,2.5%,0.7%,31.5%,"3,147,670",3.7%,"2,313,408",63.1%,62.9%,60.5%,"384,273",64.0%,"815,722",72.2%
Connecticut,"2,926,854",66.2%,65.8%,62.3%,3.5%,0.4%,33.8%,"1,926,486",5.3%,"1,510,008",62.0%,62.0%,58.9%,"209,755",75.3%,"483,824",77.5%
Delaware,"792,119",62.4%,61.7%,58.8%,2.9%,0.7%,37.6%,"488,692",4.6%,"413,238",58.9%,58.6%,55.8%,"59,484",65.8%,"130,306",75.1%
District of Columbia,"587,819",70.8%,70.4%,66.0%,4.4%,0.4%,29.2%,"413,742",6.3%,"313,011",69.3%,69.1%,65.4%,"51,319",81.6%,"67,552",81.4%
Florida,"17,719,854",59.3%,58.9%,56.2%,2.7%,0.4%,40.7%,"10,429,967",4.5%,"9,143,999",55.0%,54.9%,52.4%,"1,274,181",69.5%,"2,696,839",73.9%
Georgia,"8,394,269",63.2%,62.6%,59.6%,3.0%,0.7%,36.8%,"5,254,134",4.8%,"4,369,219",58.8%,58.7%,55.9%,"737,376",68.5%,"1,604,299",72.8%
Hawaii,"1,147,569",64.9%,60.9%,58.5%,2.4%,4.0%,35.1%,"698,880",3.9%,"578,513",60.9%,59.6%,57.5%,"95,704",63.5%,"183,402",73.9%
Idaho,"1,386,665",63.6%,63.3%,61.2%,2.1%,0.3%,36.4%,"877,350",3.3%,"694,880",58.4%,58.4%,56.6%,"138,701",61.6%,"287,987",69.5%
Illinois,"10,184,783",65.1%,64.9%,61.7%,3.1%,0.2%,34.9%,"6,606,716",4.8%,"5,232,024",60.7%,60.6%,57.9%,"855,688",70.4%,"1,832,453",74.9%
Indiana,"5,346,452",64.0%,63.9%,61.2%,2.7%,0.1%,36.0%,"3,414,811",4.2%,"2,740,936",59.4%,59.4%,56.9%,"468,169",69.8%,"996,232",73.2%
Iowa,"2,516,898",66.9%,66.8%,64.3%,2.5%,0.1%,33.1%,"1,680,913",3.7%,"1,274,018",62.8%,62.8%,60.7%,"225,177",75.6%,"463,260",80.8%
Kansas,"2,292,476",66.9%,66.0%,63.5%,2.5%,0.9%,33.1%,"1,512,483",3.8%,"1,163,349",61.7%,61.6%,59.6%,"211,677",70.4%,"450,708",77.3%
Kentucky,"3,581,569",59.0%,58.6%,55.8%,2.8%,0.4%,41.0%,"2,098,310",4.8%,"1,840,466",54.9%,54.8%,52.3%,"305,368",67.7%,"609,271",70.6%
Louisiana,"3,684,053",59.2%,58.6%,55.4%,3.2%,0.6%,40.8%,"2,158,336",5.5%,"1,911,777",55.3%,55.1%,52.4%,"332,717",67.7%,"674,214",73.9%
Maine,"1,128,168",63.0%,62.8%,60.7%,2.2%,0.2%,37.0%,"708,884",3.5%,"582,254",59.3%,59.3%,57.2%,"71,473",66.5%,"159,304",77.2%
Maryland,"4,862,424",67.5%,66.8%,63.7%,3.0%,0.7%,32.5%,"3,246,226",4.5%,"2,538,187",63.7%,63.4%,60.4%,"408,035",73.4%,"853,507",79.2%
Massachusetts,"5,707,254",67.6%,67.5%,64.8%,2.7%,0.1%,32.4%,"3,852,055",3.9%,"2,965,662",63.7%,63.7%,61.4%,"403,118",74.3%,"888,138",78.1%
Michigan,"8,095,913",61.9%,61.8%,58.7%,3.1%,0.1%,38.1%,"5,005,268",5.0%,"4,146,543",57.5%,57.5%,54.9%,"659,175",69.4%,"1,387,936",72.9%
Minnesota,"4,479,456",69.5%,69.4%,67.2%,2.2%,0.1%,30.5%,"3,109,179",3.2%,"2,265,426",65.8%,65.7%,64.0%,"407,933",76.2%,"837,515",80.8%
Mississippi,"2,360,508",56.9%,56.3%,52.6%,3.7%,0.6%,43.1%,"1,328,569",6.6%,"1,235,646",53.4%,53.2%,49.8%,"203,048",70.0%,"436,862",70.7%
Missouri,"4,918,035",62.6%,62.2%,59.8%,2.4%,0.4%,37.4%,"3,058,521",3.8%,"2,536,484",58.9%,58.7%,56.5%,"416,471",70.7%,"862,671",75.4%
