,    Civilian noninstitutionalized population,        With health insurance coverage,            With private health insurance,            With public coverage,        No health insurance coverage,    Civilian noninstitutionalized population under 19 years,        No health insurance coverage,    Civilian noninstitutionalized population 19 to 64 years,        In labor force:,            Employed:,                With health insurance coverage,                    With private health insurance,                    With public coverage,                No health insurance coverage,            Unemployed:,                With health insurance coverage,                    With private health insurance,                    With public coverage,                No health insurance coverage,        Not in labor force:,            With health insurance coverage,                With private health insurance,                With public coverage,            No health insurance coverage
Alabama,"4,822,514",90.3%,66.9%,37.3%,9.7%,"1,154,392",3.5%,"2,833,283","2,070,381","1,971,101",87.4%,83.8%,6.5%,12.6%,"99,280",55.6%,37.2%,21.7%,44.4%,"762,902",82.5%,50.6%,41.8%,17.5%
Alaska,"705,772",87.8%,64.8%,35.2%,12.2%,"190,002",9.4%,"426,835","326,089","308,208",85.9%,76.3%,13.9%,14.1%,"17,881",64.6%,27.9%,44.7%,35.4%,"100,746",82.4%,51.5%,38.8%,17.6%
Arizona,"7,165,904",88.7%,62.7%,38.4%,11.3%,"1,744,282",9.2%,"4,126,688","3,177,038","3,028,256",85.7%,75.8%,12.6%,14.3%,"148,782",74.6%,34.7%,42.9%,25.4%,"949,650",82.4%,46.8%,42.3%,17.6%
Arkansas,"2,962,596",90.9%,59.3%,44.0%,9.1%,"740,911",5.9%,"1,714,037","1,272,507","1,216,709",87.6%,76.8%,13.6%,12.4%,"55,798",67.0%,32.5%,37.9%,33.0%,"441,530",87.4%,40.6%,55.0%,12.6%
California,"38,997,581",92.3%,63.9%,37.8%,7.7%,"9,405,057",3.6%,"23,853,893","18,648,097","17,744,111",89.8%,77.0%,15.1%,10.2%,"903,986",80.0%,41.1%,41.9%,20.0%,"5,205,796",88.0%,49.9%,43.3%,12.0%
Colorado,"5,664,199",92.0%,70.9%,31.5%,8.0%,"1,331,001",5.5%,"3,503,859","2,879,176","2,778,707",89.9%,82.0%,10.6%,10.1%,"100,469",80.6%,48.9%,35.7%,19.4%,"624,683",87.8%,57.0%,36.6%,12.2%
Connecticut,"3,514,562",94.1%,69.4%,37.1%,5.9%,"773,214",3.5%,"2,132,251","1,736,444","1,647,277",92.5%,80.9%,13.8%,7.5%,"89,167",85.3%,43.2%,46.4%,14.7%,"395,807",89.9%,52.5%,43.7%,10.1%
Delaware,"956,378",93.4%,70.9%,39.5%,6.6%,"215,399",4.8%,"555,236","443,389","424,291",91.4%,82.5%,12.3%,8.6%,"19,098",79.6%,39.9%,47.0%,20.4%,"111,847",89.9%,54.6%,44.1%,10.1%
District of Columbia,"696,599",96.5%,72.6%,34.2%,3.5%,"138,489",2.0%,"473,010","387,740","363,466",96.9%,87.2%,12.1%,3.1%,"24,274",84.6%,34.0%,54.4%,15.4%,"85,270",93.1%,49.9%,52.2%,6.9%
Florida,"21,156,770",86.8%,62.5%,36.8%,13.2%,"4,479,868",7.6%,"12,249,102","9,509,270","9,097,956",82.2%,77.4%,7.2%,17.8%,"411,314",56.5%,39.2%,20.1%,43.5%,"2,739,832",78.5%,49.6%,35.9%,21.5%
