,    Total households,"        Less than $10,000","        $10,000 to $14,999","        $15,000 to $24,999","        $25,000 to $34,999","        $35,000 to $49,999","        $50,000 to $74,999","        $75,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 or more",        Median household income (dollars),        Mean household income (dollars),        With earnings,            Mean earnings (dollars),        With Social Security,            Mean Social Security income (dollars),        With retirement income,            Mean retirement income (dollars),        With Supplemental Security Income,            Mean Supplemental Security Income (dollars),        With cash public assistance income,            Mean cash public assistance income (dollars),        With Food Stamp/SNAP benefits in the past 12 months,    Families,"        Less than $10,000","        $10,000 to $14,999","        $15,000 to $24,999","        $25,000 to $34,999","        $35,000 to $49,999","        $50,000 to $74,999","        $75,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 or more",        Median family income (dollars),        Mean family income (dollars),    Per capita income (dollars),    Nonfamily households,        Median nonfamily income (dollars),        Mean nonfamily income (dollars),    Median earnings for workers (dollars),"    Median earnings for male full-time, year-round workers (dollars)","    Median earnings for female full-time, year-round workers (dollars)"
Alabama,"1,897,576",8.1%,5.5%,10.9%,10.3%,13.4%,17.8%,11.2%,13.4%,5.0%,4.3%,(X),(X),72.4%,(X),35.9%,(X),26.4%,(X),6.5%,(X),1.4%,(X),13.0%,"1,237,883",4.6%,2.6%,7.6%,9.4%,12.8%,19.2%,13.8%,17.3%,6.8%,6.0%,(X),(X),(X),"659,693",(X),(X),(X),(X),(X)
Alaska,"252,199",4.1%,3.2%,6.6%,6.9%,10.7%,18.1%,13.4%,18.2%,9.4%,9.3%,(X),(X),81.6%,(X),24.9%,(X),24.4%,(X),4.2%,(X),6.0%,(X),10.3%,"163,134",2.0%,1.8%,3.7%,5.6%,9.0%,17.9%,13.7%,21.6%,12.8%,12.0%,(X),(X),(X),"89,065",(X),(X),(X),(X),(X)
Arizona,"2,670,441",5.9%,3.5%,8.2%,8.6%,13.7%,18.8%,13.3%,15.3%,6.2%,6.6%,(X),(X),74.8%,(X),34.8%,(X),26.6%,(X),4.5%,(X),1.5%,(X),9.4%,"1,740,704",3.9%,1.9%,5.7%,7.1%,12.6%,19.1%,15.1%,18.3%,7.9%,8.4%,(X),(X),(X),"929,737",(X),(X),(X),(X),(X)
Arkansas,"1,163,647",7.1%,6.0%,12.1%,11.5%,14.1%,18.3%,11.5%,11.6%,3.9%,3.8%,(X),(X),72.4%,(X),36.1%,(X),23.3%,(X),6.1%,(X),2.2%,(X),11.0%,"755,305",3.9%,3.1%,8.7%,10.2%,13.5%,20.6%,14.0%,15.5%,5.3%,5.2%,(X),(X),(X),"408,342",(X),(X),(X),(X),(X)
California,"13,157,873",4.6%,3.7%,6.6%,6.8%,9.9%,15.3%,12.5%,17.4%,9.4%,13.7%,(X),(X),80.4%,(X),28.4%,(X),21.7%,(X),5.8%,(X),2.8%,(X),8.4%,"8,972,643",2.9%,1.9%,5.3%,6.3%,9.5%,15.1%,13.1%,18.9%,10.8%,16.1%,(X),(X),(X),"4,185,230",(X),(X),(X),(X),(X)
Colorado,"2,235,103",4.6%,2.9%,6.2%,6.7%,10.5%,17.5%,13.8%,18.4%,9.1%,10.3%,(X),(X),82.0%,(X),25.8%,(X),22.8%,(X),3.4%,(X),2.0%,(X),6.9%,"1,421,844",2.2%,1.6%,3.9%,5.2%,8.8%,16.5%,14.7%,22.1%,11.7%,13.4%,(X),(X),(X),"813,259",(X),(X),(X),(X),(X)
Connecticut,"1,377,166",5.3%,3.6%,7.2%,6.8%,9.9%,15.1%,12.3%,17.0%,9.6%,13.2%,(X),(X),78.1%,(X),32.0%,(X),25.0%,(X),4.9%,(X),3.0%,(X),11.1%,"885,911",2.6%,1.9%,4.5%,5.1%,8.2%,14.2%,12.8%,20.3%,12.4%,18.1%,(X),(X),(X),"491,255",(X),(X),(X),(X),(X)
Delaware,"376,239",5.4%,3.6%,7.1%,7.2%,11.9%,18.3%,13.6%,17.0%,8.5%,7.4%,(X),(X),75.6%,(X),35.9%,(X),32.9%,(X),5.1%,(X),2.8%,(X),10.1%,"242,584",2.7%,2.1%,4.6%,5.5%,10.7%,16.7%,15.6%,21.8%,10.4%,10.0%,(X),(X),(X),"133,655",(X),(X),(X),(X),(X)
District of Columbia,"291,570",8.0%,3.3%,4.9%,4.6%,8.5%,12.1%,11.0%,16.2%,10.6%,20.7%,(X),(X),81.7%,(X),19.0%,(X),17.9%,(X),5.6%,(X),2.9%,(X),11.3%,"124,978",5.3%,1.7%,3.1%,4.0%,8.3%,10.4%,8.6%,15.1%,12.8%,30.7%,(X),(X),(X),"166,592",(X),(X),(X),(X),(X)
Florida,"7,905,832",6.0%,4.0%,9.0%,9.6%,13.6%,18.7%,12.8%,14.0%,5.6%,6.7%,(X),(X),72.4%,(X),38.2%,(X),26.7%,(X),5.0%,(X),2.0%,(X),11.8%,"5,083,272",3.5%,2.2%,6.4%,8.4%,12.6%,19.4%,14.7%,16.9%,7.2%,8.7%,(X),(X),(X),"2,822,560",(X),(X),(X),(X),(X)
