,    Civilian employed population 16 years and over,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
Alabama,"2,153,467","26,729","147,876","312,479","56,725","238,689","116,043","28,935","121,347","207,500","485,064","190,962","103,773","117,345"
Alaska,"338,011","16,537","22,264","14,085","6,333","34,999","32,272","6,274","14,616","30,122","82,920","27,517","17,331","32,741"
Arizona,"3,305,302","45,620","254,442","232,380","75,382","391,096","184,363","52,036","288,887","414,712","719,117","344,381","150,817","152,069"
Arkansas,"1,325,091","36,488","93,581","182,503","30,808","171,412","79,531","15,800","60,990","99,249","320,024","111,539","61,712","61,454"
California,"19,078,101","409,074","1,288,091","1,660,969","516,975","1,939,035","1,089,249","541,920","1,112,459","2,700,235","4,037,088","1,966,467","960,853","855,686"
Colorado,"3,032,173","74,169","240,669","206,410","72,572","300,306","145,465","84,836","201,489","451,458","660,796","309,814","151,008","133,181"
Connecticut,"1,823,915","7,990","113,732","180,833","42,782","191,226","80,333","32,903","158,570","206,887","495,627","166,307","84,644","62,081"
Delaware,"466,061","5,917","32,366","31,927","9,236","53,812","26,372","6,264","44,526","53,698","115,059","42,793","18,676","25,415"
District of Columbia,"387,826",790,"11,348","4,372","1,364","16,502","10,394","14,108","23,473","95,035","76,143","36,992","34,950","62,355"
Florida,"9,958,518","83,241","821,950","487,649","258,452","1,241,119","593,055","162,362","765,825","1,312,510","2,107,529","1,212,147","514,069","398,610"
Georgia,"5,002,153","48,994","335,125","528,066","142,736","537,101","358,385","113,416","316,808","657,129","1,041,008","467,762","234,358","221,265"
Hawaii,"671,768","10,265","48,408","19,190","15,576","77,599","41,931","8,761","40,725","73,511","144,953","108,628","28,607","53,614"
Idaho,"848,223","39,187","75,403","81,334","21,815","103,518","40,794","13,352","46,079","77,734","185,483","86,935","37,121","39,468"
Illinois,"6,286,647","61,527","347,653","743,505","181,683","639,355","436,641","100,260","449,570","770,963","1,473,710","563,524","290,100","228,156"
Indiana,"3,272,727","41,079","201,769","604,960","82,382","354,916","190,656","43,548","172,897","270,751","756,603","289,104","148,114","115,948"
Iowa,"1,618,556","60,645","108,780","244,944","42,567","179,895","82,311","23,949","120,586","124,277","397,983","117,053","65,564","50,002"
Kansas,"1,455,746","44,765","96,010","183,194","36,966","151,293","73,292","25,673","88,237","145,536","358,814","124,109","62,801","65,056"
Kentucky,"1,997,773","38,960","123,911","285,253","52,172","240,764","126,620","23,935","105,182","171,037","492,912","172,372","83,726","80,929"
Louisiana,"2,040,325","77,379","168,126","148,633","51,482","234,195","116,033","29,302","103,870","190,462","501,957","216,254","97,728","104,904"
Maine,"684,413","19,083","52,029","59,875","13,709","85,525","27,095","10,703","40,294","62,926","191,600","61,356","28,996","31,222"
Maryland,"3,098,870","17,758","229,044","133,378","52,039","278,950","150,107","47,647","178,418","495,888","738,985","266,346","177,118","333,192"
Massachusetts,"3,700,243","16,116","218,644","319,489","77,541","376,956","162,323","83,751","260,496","543,095","1,029,088","319,543","156,369","136,832"
Michigan,"4,755,016","56,518","272,095","878,855","114,985","497,136","207,441","57,036","258,613","450,625","1,110,708","471,380","224,808","154,816"
Minnesota,"3,010,452","61,997","188,532","402,190","83,822","322,024","142,804","46,224","213,766","302,883","766,947","240,430","131,930","106,903"
Mississippi,"1,240,752","27,179","83,950","167,001","32,996","135,067","84,657","13,188","57,918","81,667","314,264","120,932","60,999","60,934"
Missouri,"2,942,459","46,132","194,488","325,633","79,539","331,918","171,913","51,314","209,157","290,337","711,027","269,268","134,349","127,384"
Montana,"520,261","31,431","41,457","25,458","12,070","69,014","25,341","7,809","27,307","46,712","122,596","57,028","24,296","29,742"
Nebraska,"1,008,957","46,776","76,754","101,861","23,839","105,455","55,880","17,449","80,285","88,188","251,998","73,293","46,201","40,978"
Nevada,"1,479,868","21,632","112,780","73,822","28,618","165,936","98,238","23,234","77,299","166,013","239,993","343,118","70,167","59,018"
New Hampshire,"735,493","5,471","53,734","98,275","18,121","89,439","30,877","15,557","42,995","82,543","178,615","64,488","29,069","26,309"
New Jersey,"4,496,699","15,873","283,676","359,650","143,970","462,786","298,291","106,001","386,688","614,332","1,092,195","358,343","186,454","188,440"
New Mexico,"907,775","39,725","65,336","37,283","15,790","99,485","40,356","13,224","43,203","102,122","233,649","99,215","52,842","65,545"
New York,"9,611,029","55,788","575,689","551,686","218,852","926,508","550,264","275,395","750,572","1,168,402","2,760,336","906,635","428,369","442,533"
North Carolina,"4,937,837","56,376","378,771","583,235","123,151","549,711","251,057","76,749","317,819","553,277","1,124,949","493,144","236,598","193,000"
North Dakota,"405,699","38,310","29,811","26,827","15,553","46,070","19,930","4,064","21,392","27,056","106,695","32,241","18,281","19,469"
Ohio,"5,692,943","52,106","332,681","869,642","143,982","644,443","299,748","80,859","355,688","555,205","1,370,259","516,616","252,293","219,421"
Oklahoma,"1,791,228","82,289","123,707","169,886","43,448","203,030","101,414","24,819","91,807","160,551","412,669","177,489","91,478","108,641"
Oregon,"2,045,338","59,775","129,498","226,458","53,285","238,669","94,196","33,132","113,123","224,079","482,108","207,140","89,204","94,671"
Pennsylvania,"6,285,109","79,794","385,018","724,846","161,419","678,014","372,818","99,331","404,030","668,336","1,658,093","516,556","296,952","239,902"
Rhode Island,"547,914","1,919","30,431","59,501","13,850","63,369","23,706","8,076","34,998","59,439","150,465","56,927","22,914","22,319"
South Carolina,"2,359,714","21,668","170,579","322,109","53,640","270,373","126,028","30,529","133,071","241,255","517,037","254,905","117,000","101,520"
South Dakota,"452,975","29,353","28,200","48,511","13,167","47,067","21,830","7,950","34,208","28,834","110,604","43,233","19,954","20,064"
Tennessee,"3,215,401","28,342","222,321","422,758","82,343","358,611","220,427","46,991","187,185","332,363","708,343","317,107","156,954","131,656"
Texas,"13,830,576","405,332","1,253,160","1,173,051","381,309","1,543,696","841,990","207,121","926,062","1,619,451","2,960,937","1,267,657","721,350","529,460"
Utah,"1,598,530","26,845","126,797","155,504","36,779","181,789","83,130","29,417","118,656","199,933","355,141","141,054","70,196","73,289"
Vermont,"331,247","8,209","25,594","34,006","5,979","38,130","9,622","5,825","14,873","29,949","96,487","32,805","13,766","16,002"
Virginia,"4,229,399","34,735","289,230","297,017","69,338","431,185","198,501","72,109","265,509","660,669","949,453","383,199","223,543","354,911"
Washington,"3,749,409","96,356","273,276","354,370","104,051","422,391","203,004","82,004","189,782","524,363","793,033","339,811","179,315","187,653"
West Virginia,"744,981","26,815","52,524","58,568","14,462","96,922","46,323","8,921","27,197","58,458","203,741","68,321","33,852","48,877"
Wisconsin,"3,002,074","60,075","181,292","546,578","78,643","330,257","138,086","42,317","186,468","250,290","706,772","253,135","129,846","98,315"
Wyoming,"283,750","32,253","24,292","10,689","5,070","29,876","16,868","3,236","12,755","22,242","69,635","27,200","12,639","16,995"
