,    Civilian employed population 16 years and over,"        Management, business, science, and arts occupations",        Service occupations,        Sales and office occupations,"        Natural resources, construction, and maintenance occupations","        Production, transportation, and material moving occupations"
Alabama,"2,153,467",35.9%,16.5%,20.3%,9.4%,17.9%
Alaska,"338,011",38.3%,17.3%,19.6%,11.4%,13.4%
Arizona,"3,305,302",37.9%,18.6%,22.8%,9.5%,11.2%
Arkansas,"1,325,091",33.9%,17.3%,20.4%,10.1%,18.3%
California,"19,078,101",40.7%,18.4%,20.1%,9.0%,11.9%
Colorado,"3,032,173",45.1%,16.8%,19.5%,8.8%,9.8%
Connecticut,"1,823,915",44.7%,18.3%,19.6%,7.2%,10.2%
Delaware,"466,061",40.5%,18.0%,20.9%,9.0%,11.6%
District of Columbia,"387,826",67.8%,13.1%,13.1%,2.8%,3.2%
Florida,"9,958,518",36.5%,20.0%,23.4%,9.4%,10.7%
Georgia,"5,002,153",39.1%,16.0%,21.0%,8.8%,15.0%
Hawaii,"671,768",36.1%,23.3%,22.4%,9.0%,9.1%
Idaho,"848,223",35.5%,17.1%,22.3%,11.5%,13.6%
Illinois,"6,286,647",40.7%,17.0%,20.3%,7.3%,14.7%
Indiana,"3,272,727",35.1%,16.5%,20.1%,8.9%,19.4%
Iowa,"1,618,556",37.8%,15.8%,19.3%,9.7%,17.4%
Kansas,"1,455,746",40.0%,16.3%,19.7%,9.7%,14.4%
Kentucky,"1,997,773",36.2%,16.1%,20.3%,9.1%,18.3%
Louisiana,"2,040,325",35.4%,19.8%,20.9%,11.1%,12.8%
Maine,"684,413",40.1%,17.4%,20.4%,10.5%,11.7%
Maryland,"3,098,870",48.0%,17.2%,17.9%,7.8%,9.1%
Massachusetts,"3,700,243",48.4%,17.0%,18.5%,6.8%,9.4%
Michigan,"4,755,016",37.7%,17.5%,19.8%,8.1%,16.9%
Minnesota,"3,010,452",42.8%,15.9%,19.5%,7.9%,13.9%
Mississippi,"1,240,752",32.8%,18.3%,20.3%,10.4%,18.3%
Missouri,"2,942,459",38.4%,16.9%,21.0%,8.8%,14.8%
Montana,"520,261",39.1%,18.6%,19.7%,11.5%,11.2%
Nebraska,"1,008,957",40.0%,15.8%,19.7%,10.6%,13.9%
Nevada,"1,479,868",30.4%,25.7%,21.6%,9.5%,12.8%
New Hampshire,"735,493",42.5%,15.5%,20.0%,9.1%,12.8%
New Jersey,"4,496,699",44.9%,15.9%,20.4%,7.3%,11.5%
New Mexico,"907,775",37.6%,20.7%,20.3%,10.3%,11.0%
New York,"9,611,029",43.1%,20.2%,19.8%,7.2%,9.8%
North Carolina,"4,937,837",39.3%,16.9%,20.1%,9.5%,14.2%
North Dakota,"405,699",38.3%,16.7%,19.4%,12.0%,13.6%
Ohio,"5,692,943",38.1%,17.0%,20.4%,7.6%,16.9%
Oklahoma,"1,791,228",36.2%,17.5%,20.9%,10.9%,14.5%
Oregon,"2,045,338",40.4%,18.1%,20.0%,8.6%,12.8%
Pennsylvania,"6,285,109",40.3%,17.2%,20.0%,8.1%,14.3%
Rhode Island,"547,914",42.2%,18.7%,20.1%,6.9%,12.0%
South Carolina,"2,359,714",36.9%,17.6%,20.5%,9.1%,16.0%
South Dakota,"452,975",39.2%,16.6%,20.0%,9.9%,14.2%
Tennessee,"3,215,401",36.2%,17.0%,21.2%,8.9%,16.7%
Texas,"13,830,576",37.6%,17.3%,21.1%,10.6%,13.4%
Utah,"1,598,530",40.4%,15.1%,22.2%,9.4%,12.9%
Vermont,"331,247",42.9%,17.0%,19.1%,10.2%,10.8%
Virginia,"4,229,399",45.4%,17.1%,19.0%,7.8%,10.7%
Washington,"3,749,409",43.3%,17.3%,18.1%,9.6%,11.7%
West Virginia,"744,981",33.3%,19.2%,21.5%,11.4%,14.7%
Wisconsin,"3,002,074",37.9%,16.2%,19.5%,8.6%,17.8%
Wyoming,"283,750",36.3%,18.2%,18.4%,15.4%,11.7%
