,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
TOTAL,220099000.0,1208030.0,21460.0,76390.0,480700.0,629480.0,11041500.0,3327700.0,6601000.0,1112800.0
Alaska,0.001844624464445545,0.0016506212594058095,0.002516309412861137,0.0038224898546930226,0.0009257333055960058,0.0019111012264090995,0.0021005298193180273,0.0016876521321032545,0.0022838963793364643,0.0022474838245866284
Alabama,0.01712411233126911,0.012895375114856418,0.023112767940354148,0.013575075271632413,0.008585396297066778,0.015755861981317912,0.01307539736448852,0.01457973976019473,0.01269368277533707,0.010841121495327103
Arkansas,0.009904633823870168,0.006609107389717143,0.009226467847157502,0.007788977614871057,0.003382567089660911,0.00884063036156828,0.006425666802517774,0.0064479971151245605,0.006857597333737313,0.003796728971962617
Arizona,0.011131354526826565,0.012026191402531394,0.010205032618825723,0.014661604922110223,0.00895568961930518,0.014113236322043591,0.016118915002490602,0.014699642395648646,0.017720951371004393,0.01085999281092739
California,0.10311723360851253,0.15238611623883513,0.1375582479030755,0.16021730593009556,0.15761805700020803,0.14794592361949546,0.13684925055472535,0.14914505514319198,0.12833631267989698,0.1505778217109993
Colorado,0.012594332550352342,0.01197983493787406,0.00750232991612302,0.01926953789763058,0.00905554399833576,0.013480968418377074,0.01639125118869719,0.014947561378730054,0.017860627177700348,0.011992271746944644
Connecticut,0.01415272218410806,0.010680198339445212,0.0061043802423112765,0.009844220447702579,0.01252548366964843,0.009528499714049692,0.015136620930127248,0.014493193497009947,0.014694288744129678,0.019684579439252337
District of Columbia,0.0029804769671829493,0.00873571020587237,0.008387698042870456,0.006401361434742767,0.014395672976908675,0.004708648408209951,0.004154960829597428,0.004042431709589206,0.004365853658536586,0.0032404744787922356
Delaware,0.0026442646263726776,0.0025885118747050982,0.001537744641192917,0.0021206964262338,0.0015664655710422302,0.003461587341933024,0.0031565457591812706,0.002671514860113592,0.0034965914255415845,0.002589863407620417
Florida,0.040254612697013616,0.061158249381223974,0.050512581547064304,0.05990312868176463,0.04596837944664032,0.07327317786109169,0.05499986414889281,0.05736214202001382,0.057279048628995605,0.03441588785046729
Georgia,0.023253172436040144,0.023669941971639775,0.040866728797763284,0.029009032595889515,0.022756396921156646,0.023133379932642816,0.022518770094642936,0.02451513057066442,0.02208119981820936,0.019144500359453632
Hawaii,0.004157220160018901,0.0021944819251177535,0.003075489282385834,0.0038748527294148447,0.003511545662575411,0.0009547563067929084,0.005765883258615224,0.004969798960242811,0.006147553400999849,0.005882458662832495
Iowa,0.013189519261786742,0.004353368707730768,0.0030288909599254427,0.004189029977745778,0.0030309964634907425,0.0054282900171570185,0.0108336729611013,0.008043994350452265,0.012880321163460082,0.007035406182602445
Idaho,0.004111786059909405,0.002163025752671705,0.0022833178005591797,0.0024348736745647337,0.0008154774287497399,0.003154985067039461,0.003239233799755468,0.0029236409532109263,0.003571731555824875,0.0022106398274622575
Illinois,0.051022494422964214,0.06915391174060247,0.056057781919850884,0.04846184055504647,0.07500728104847099,0.06764154540255449,0.05377439659466558,0.048614959281185206,0.053940615058324495,0.06821710999281093
Indiana,0.02453441405912794,0.015110551890267625,0.02087604846225536,0.02200549810184579,0.014909506969003537,0.014230793670966512,0.020850699633202012,0.01898488445472849,0.021764278139675807,0.02101096333572969
Kansas,0.010763338315939645,0.006933602642318485,0.0060577819198508855,0.008194789893965179,0.005040565841481173,0.00825602084260024,0.009745505592537246,0.009467199567268684,0.010547189819724283,0.005822250179726815
Kentucky,0.016024607108619304,0.007241542014685066,0.015610438024231128,0.009412226731247546,0.0067547326815061365,0.00706456122513821,0.009378073631300094,0.00964089310935481,0.009457809422814725,0.008119158878504673
Louisiana,0.018291768704083163,0.022540003145617243,0.03178005591798695,0.020342976829427935,0.018373205741626795,0.02567357183707187,0.017073223746773537,0.016899660426120143,0.017551280109074384,0.01475647016534867
Massachusetts,0.026210932353168348,0.02537188645977335,0.009878844361602983,0.018693546275690535,0.024389432078219263,0.027460761263264917,0.02814436444323688,0.027818012441025334,0.02304726556582336,0.05935567936736161
Maryland,0.018850608135429967,0.027322996945440096,0.01891891891891892,0.021416415761225292,0.02858331599750364,0.02736385588104467,0.020663768509713354,0.01882080716410734,0.022011361914861385,0.01818116462976276
Maine,0.004984120782011731,0.0018385305000703624,0.0014445479962721343,0.001714884147139678,0.000726024547534845,0.002716527927813433,0.004078250237739438,0.003783994951467981,0.004518709286471747,0.0023454349388928827
Michigan,0.04183571938082408,0.04681837371588454,0.03886300093196645,0.053671946589867785,0.04205949656750572,0.04989197432801678,0.04614019834261649,0.04171229377648226,0.04775200727162551,0.049820273184759165
Minnesota,0.018446244644455448,0.007427795667326142,0.004333643988816403,0.01140201597067679,0.007809444560016642,0.006759547563067929,0.015339944753883077,0.013577846560687562,0.016789425844569005,0.012011143062544931
Missouri,0.02211731993330274,0.021242849929223612,0.025302889095992546,0.021442597198586204,0.02135843561472852,0.020991929846857722,0.019454693655753294,0.02116266490368723,0.018845326465687016,0.01796189791516894
Montana,0.0035711202686064,0.001458573048682566,0.001537744641192917,0.0021206964262338,0.0005408778864156438,0.002076316960030501,0.003015713444731241,0.0018974066171830394,0.0037171640660505984,0.002198957584471603
North Carolina,0.02547035652138356,0.02070230043955862,0.027958993476234855,0.014884147139677967,0.009001456209694196,0.03009626993709093,0.019935063170764843,0.02184301469483427,0.020436752007271627,0.011253594536304817
North Dakota,0.002985020377193899,0.000333600986730462,0.00046598322460391424,0.0007068988087446001,0.00013521947160391096,0.0004352799135794624,0.0016033147670153512,0.0009102383027316164,0.0020613543402514772,0.000958842559309849
Nebraska,0.007151327357234699,0.0029436355057407514,0.0030288909599254427,0.004424662913993978,0.002406906594549615,0.0031708711952722884,0.0053701942670832765,0.0038477026174234454,0.0063922133010149975,0.003860531991373113
New Hampshire,0.004030004679712311,0.0010272923685670059,0.00097856477166822,0.0019897892394292447,0.0005283960890368213,0.0012931308381521256,0.0035659104288366618,0.003195901072813054,0.003916982275412816,0.002589863407620417
New Jersey,0.0333122822002826,0.030418946549340662,0.02255358807082945,0.02666579395208797,0.03813605159142917,0.025249412213255384,0.03532291808178237,0.03528593322715389,0.03356339948492652,0.045870776419841844
New Mexico,0.005638371823588476,0.006019718053359602,0.007176141658900279,0.007618798272025135,0.003124609943831912,0.00799707695240516,0.0058473033555223475,0.005524836974486883,0.0063240418118466896,0.003983644859813084
Nevada,0.003189473827686632,0.0048558396728558065,0.005731593662628145,0.005471920408430423,0.005951737050135219,0.003914341996568596,0.005083729565729294,0.0059497550860955015,0.004755037115588548,0.004443745506829619
New York,0.08018664328324981,0.1340248172644719,0.09748369058713886,0.07061133656237728,0.1944476804659871,0.09682436296625786,0.08452058144273876,0.09264717372359287,0.075835327980609,0.11173885693745507
Ohio,0.04875533282750035,0.04063806362424774,0.04030754892823858,0.044626259981672994,0.04349698356563345,0.0379821439918663,0.04540950052076258,0.04150854944856808,0.04789607635206787,0.04232476635514019
Oklahoma,0.013139541751666296,0.009700918023559017,0.013094128611369991,0.012475454902474146,0.006170168504264614,0.011944779818262693,0.011256894443689717,0.01281545812422995,0.010497197394334192,0.011102624011502516
Oregon,0.011481197097669685,0.01140782927576302,0.0049860205032618825,0.014674695640790679,0.006862908258789266,0.014701023066658193,0.013337318299144137,0.012225260690567058,0.014667929101651265,0.008769769949676492
Pennsylvania,0.05329874283844997,0.032394063061347816,0.03373718546132339,0.033158790417593925,0.037143748699812774,0.02862839168837771,0.0335927183806548,0.03295609580190522,0.032656718678988034,0.04104870596693026
Rhode Island,0.004220827900172195,0.002884862130907345,0.0013979496738117428,0.0018457913339442334,0.0021198252548366965,0.0036458664294338186,0.004538694923696961,0.004327313159239114,0.004294349341008938,0.006620237239396118
South Carolina,0.013321278152104281,0.01646399509945945,0.017148182665424044,0.01316926299253829,0.0065654254212606615,0.024399504352799136,0.011651587193768962,0.013270427021666616,0.011484169065293138,0.007803738317757009
South Dakota,0.003130409497544287,0.0009072622368649785,0.00065237651444548,0.001479251210891478,0.00029124193883919283,0.0013169600305013662,0.0017476792102522302,0.0012969919163386124,0.0020878654749280413,0.0010774622573687994
Tennessee,0.019900135847959327,0.01501204440287079,0.020037278657968314,0.019780075926168348,0.015138339920948617,0.01416566054521192,0.014278041932708417,0.017041800643086816,0.01285411301317982,0.014459920920201295
