,    Total housing units,        No bedroom,        1 bedroom,        2 bedrooms,        3 bedrooms,        4 bedrooms,        5 or more bedrooms
Alabama,"2,284,922","32,808","147,772","513,776","1,120,871","380,597","89,098"
Alaska,"319,867","24,292","41,507","83,093","109,374","51,094","10,507"
Arizona,"3,076,048","89,028","346,892","819,760","1,136,495","554,232","129,641"
Arkansas,"1,389,159","30,120","101,833","361,814","680,008","182,182","33,202"
California,"14,367,012","640,439","1,982,195","3,896,852","4,768,220","2,461,058","618,248"
Colorado,"2,464,109","57,520","290,686","599,523","813,764","487,914","214,702"
Connecticut,"1,524,959","33,729","197,985","412,875","544,733","264,859","70,778"
Delaware,"443,764","5,581","31,478","89,128","201,743","96,176","19,658"
District of Columbia,"322,814","31,839","100,159","83,812","65,792","28,892","12,320"
Florida,"9,674,053","204,148","984,257","3,142,983","3,708,302","1,358,485","275,878"
Georgia,"4,378,350","67,946","335,804","941,188","1,849,323","862,852","321,237"
Hawaii,"550,328","34,642","67,629","145,365","190,809","83,633","28,250"
Idaho,"751,113","13,890","47,207","172,465","303,953","149,947","63,651"
Illinois,"5,388,210","149,826","623,632","1,531,109","1,959,541","884,454","239,648"
Indiana,"2,921,115","44,304","261,879","741,070","1,279,163","478,498","116,201"
Iowa,"1,418,600","26,553","126,873","391,008","545,270","251,143","77,753"
Kansas,"1,288,430","26,755","117,235","335,715","473,040","246,913","88,772"
Kentucky,"2,006,335","32,992","168,552","529,192","894,391","300,744","80,464"
Louisiana,"2,089,824","32,364","179,953","500,969","1,010,967","317,406","48,165"
Maine,"750,964","21,127","86,820","221,763","290,418","100,458","30,378"
Maryland,"2,470,307","49,060","250,473","534,804","894,391","540,475","201,104"
Massachusetts,"2,928,818","76,177","415,587","812,233","1,014,097","482,868","127,856"
Michigan,"4,629,605","76,770","415,757","1,166,406","2,027,027","762,887","180,758"
Minnesota,"2,477,515","58,400","283,951","625,127","805,202","536,735","168,100"
Mississippi,"1,339,047","23,880","76,970","293,270","707,638","202,281","35,008"
Missouri,"2,819,334","59,808","263,273","768,124","1,160,174","450,725","117,230"
Montana,"519,938","15,568","51,556","142,791","188,549","85,618","35,856"
Nebraska,"851,167","13,730","92,928","216,376","310,596","160,291","57,246"
Nevada,"1,285,681","43,079","132,614","334,909","481,099","233,777","60,203"
New Hampshire,"642,298","17,404","70,390","196,937","238,088","97,020","22,459"
New Jersey,"3,641,854","107,685","508,769","926,496","1,169,699","715,757","213,448"
New Mexico,"948,470","28,075","79,635","241,162","437,958","139,971","21,669"
New York,"8,404,205","415,371","1,565,022","2,260,183","2,631,314","1,149,878","382,437"
North Carolina,"4,748,148","77,777","324,296","1,191,424","2,205,442","751,067","198,142"
North Dakota,"379,974","8,810","42,053","111,266","115,694","70,654","31,497"
Ohio,"5,232,943","89,049","496,922","1,349,855","2,179,482","935,121","182,514"
Oklahoma,"1,749,520","32,405","151,272","407,522","860,856","256,767","40,698"
Oregon,"1,808,482","68,183","183,717","488,021","737,207","268,214","63,140"
Pennsylvania,"5,732,580","123,523","601,204","1,292,571","2,460,718","1,002,386","252,178"
Rhode Island,"470,177","13,046","68,320","141,438","176,794","56,612","13,967"
South Carolina,"2,351,364","42,297","126,166","542,839","1,139,125","400,767","100,170"
South Dakota,"401,749","7,322","40,282","106,695","129,007","83,672","34,771"
Tennessee,"3,028,437","45,779","236,461","766,965","1,383,082","471,272","124,878"
Texas,"11,283,892","264,603","1,455,962","2,494,161","4,540,915","2,102,749","425,502"
Utah,"1,133,543","21,435","83,407","216,837","332,092","245,233","234,539"
Vermont,"339,412","14,674","38,141","92,649","129,431","50,020","14,497"
Virginia,"3,562,258","53,359","296,379","826,308","1,379,285","752,411","254,516"
Washington,"3,195,098","126,724","377,266","794,271","1,187,423","559,731","149,683"
West Virginia,"894,983","18,028","64,882","244,551","411,340","127,825","28,357"
Wisconsin,"2,725,153","53,591","266,451","773,111","1,103,449","424,166","104,385"
Wyoming,"280,281","4,726","23,346","65,674","114,293","49,322","22,920"
