,    Occupied units paying rent,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),        No rent paid
Alabama,"530,685","88,556","295,886","118,940","19,989","4,233","1,712","1,369",807,"61,668"
Alaska,"81,577","5,775","22,547","26,322","15,630","8,467","2,310",526,"1,201","7,350"
Arizona,"882,969","55,604","307,381","339,753","135,539","27,565","6,917","10,210","1,101","44,802"
Arkansas,"364,655","64,088","226,358","59,815","9,959","1,996","1,132","1,307",742,"37,183"
California,"5,764,808","282,259","802,667","1,479,762","1,394,796","860,590","466,360","478,374","1,614","174,323"
Colorado,"740,216","41,803","134,293","264,721","193,156","74,276","21,446","10,521","1,369","22,975"
Connecticut,"464,336","48,156","113,080","168,381","84,436","29,417","10,451","10,415","1,177","17,236"
Delaware,"108,243","9,065","31,612","50,042","13,791","2,866",648,219,"1,116","3,493"
District of Columbia,"167,924","17,252","21,161","37,599","38,659","23,753","14,973","14,527","1,603","2,658"
Florida,"2,562,945","131,675","640,439","1,009,291","523,816","163,746","57,234","36,744","1,238","105,368"
Georgia,"1,310,101","114,731","485,673","472,168","184,058","36,113","8,203","9,155","1,049","72,041"
Hawaii,"175,621","12,308","20,977","44,267","34,066","26,183","18,529","19,291","1,651","9,718"
Idaho,"175,938","21,149","87,942","47,997","14,581","2,517",504,"1,248",880,"10,534"
Illinois,"1,586,345","174,309","595,650","479,141","199,826","78,563","33,629","25,227","1,020","67,794"
Indiana,"756,883","86,991","445,619","179,236","33,043","7,173","1,279","3,542",840,"40,399"
Iowa,"356,927","53,502","204,081","76,163","15,519","4,256","1,638","1,768",808,"22,414"
Kansas,"361,888","43,915","190,360","95,941","21,342","6,777","1,199","2,354",862,"19,875"
Kentucky,"524,301","86,907","307,325","105,914","17,946","3,509",704,"1,996",773,"52,607"
Louisiana,"515,651","72,058","272,046","129,887","31,469","7,303","1,913",975,866,"67,773"
Maine,"146,800","25,051","66,883","39,388","11,998","2,139",789,552,870,"12,699"
Maryland,"714,875","51,843","111,066","245,753","194,292","73,655","23,523","14,743","1,401","23,724"
Massachusetts,"968,580","132,061","175,144","245,174","196,610","115,297","55,512","48,782","1,360","34,353"
Michigan,"1,071,181","124,357","544,850","302,667","70,136","15,993","5,735","7,443",888,"57,504"
Minnesota,"599,607","71,365","221,228","193,614","80,155","20,160","7,271","5,814","1,016","24,565"
Mississippi,"310,584","59,018","177,355","62,884","8,961","1,574",526,266,777,"48,994"
Missouri,"758,715","90,208","429,217","189,123","34,473","8,865","3,048","3,781",834,"49,603"
Montana,"127,256","18,045","66,057","31,372","7,866","1,943",213,"1,760",831,"8,939"
Nebraska,"245,821","27,509","137,842","60,197","14,810","2,700",376,"2,387",859,"14,253"
Nevada,"481,427","16,903","149,780","200,477","86,733","20,570","4,098","2,866","1,168","14,612"
New Hampshire,"150,586","13,232","44,770","56,514","27,143","6,803","1,214",910,"1,147","6,644"
New Jersey,"1,171,177","91,319","172,896","432,860","274,871","107,953","47,576","43,702","1,376","33,289"
New Mexico,"230,992","31,835","119,472","59,556","15,205","3,150",882,892,847,"22,376"
New York,"3,341,892","352,098","770,816","860,242","648,853","332,057","169,278","208,548","1,309","119,404"
North Carolina,"1,314,240","140,900","611,448","410,371","113,414","23,778","7,355","6,974",931,"89,399"
North Dakota,"117,957","16,788","66,453","26,875","6,815",480,226,320,804,"7,151"
Ohio,"1,523,946","198,499","887,453","343,402","64,944","17,211","5,069","7,368",813,"82,661"
Oklahoma,"472,973","59,738","274,921","110,834","19,961","4,986","1,369","1,164",814,"42,280"
Oregon,"585,946","37,676","163,548","229,547","107,827","33,323","8,791","5,234","1,185","26,281"
Pennsylvania,"1,534,281","181,465","657,847","466,323","152,834","45,808","16,132","13,872",951,"83,144"
Rhode Island,"147,893","24,129","44,234","50,786","20,190","6,601","1,095",858,"1,043","8,135"
South Carolina,"532,859","54,767","256,286","160,342","45,078","10,244","3,628","2,514",922,"54,564"
South Dakota,"104,451","18,309","59,441","21,037","3,991","1,142",285,246,769,"9,417"
Tennessee,"824,556","95,618","401,926","238,706","62,631","17,714","4,860","3,101",904,"64,461"
Texas,"3,630,018","229,019","1,290,075","1,343,012","543,904","144,733","45,425","33,850","1,091","175,830"
Utah,"289,140","17,306","101,714","111,849","44,317","9,815","2,473","1,666","1,098","11,427"
Vermont,"72,440","8,169","29,507","23,732","7,587","2,067",652,726,980,"4,075"
Virginia,"1,027,394","76,429","272,230","305,138","216,537","95,723","34,429","26,908","1,254","53,740"
Washington,"1,043,608","67,291","226,372","316,019","246,063","110,099","43,036","34,728","1,359","39,177"
West Virginia,"159,789","33,314","96,330","25,476","3,561",782,184,142,727,"33,818"
Wisconsin,"753,701","73,137","424,916","199,150","39,800","9,726","3,211","3,761",867,"29,016"
Wyoming,"59,357","7,601","32,364","12,939","5,021","1,265",76,91,822,"6,189"
