,    Occupied housing units,        Utility gas,"        Bottled, tank, or LP gas",        Electricity,"        Fuel oil, kerosene, etc.",        Coal or coke,        Wood,        Solar energy,        Other fuel,        No fuel used
Alabama,"1,897,576",26.5%,5.6%,66.4%,0.1%,0.0%,0.9%,0.0%,0.1%,0.4%
Alaska,"252,199",48.6%,1.9%,12.1%,30.8%,0.4%,4.8%,0.0%,0.8%,0.5%
Arizona,"2,670,441",32.9%,2.8%,60.5%,0.1%,0.0%,1.9%,0.7%,0.2%,0.9%
Arkansas,"1,163,647",38.7%,6.7%,50.6%,0.1%,0.0%,3.4%,0.0%,0.2%,0.3%
California,"13,157,873",64.4%,3.2%,26.6%,0.2%,0.0%,1.4%,0.8%,0.3%,3.1%
Colorado,"2,235,103",68.4%,4.8%,23.6%,0.1%,0.0%,1.6%,0.4%,0.6%,0.5%
Connecticut,"1,377,166",36.3%,4.9%,17.3%,38.9%,0.0%,1.6%,0.1%,0.6%,0.3%
Delaware,"376,239",42.4%,10.1%,35.1%,10.2%,0.1%,0.8%,0.3%,0.6%,0.4%
District of Columbia,"291,570",51.0%,1.1%,44.2%,1.0%,0.0%,0.0%,0.2%,0.5%,2.0%
Florida,"7,905,832",4.7%,0.8%,92.1%,0.1%,0.0%,0.2%,0.2%,0.0%,1.9%
Georgia,"3,852,714",38.6%,4.5%,55.6%,0.1%,0.0%,0.6%,0.0%,0.1%,0.5%
Hawaii,"465,299",2.1%,1.5%,33.7%,0.1%,0.1%,0.3%,3.5%,0.1%,58.6%
Idaho,"655,859",50.9%,5.2%,34.4%,1.5%,0.0%,6.7%,0.1%,0.8%,0.3%
Illinois,"4,866,006",77.1%,4.2%,17.0%,0.1%,0.0%,0.4%,0.0%,0.5%,0.6%
Indiana,"2,597,765",59.8%,7.1%,29.7%,0.6%,0.1%,1.7%,0.0%,0.5%,0.4%
Iowa,"1,287,221",60.6%,12.9%,23.7%,0.4%,0.0%,1.2%,0.1%,0.7%,0.5%
Kansas,"1,138,329",64.3%,8.0%,25.5%,0.2%,0.0%,1.4%,0.0%,0.4%,0.2%
Kentucky,"1,748,732",36.9%,6.2%,52.7%,0.7%,0.1%,2.8%,0.0%,0.3%,0.3%
Louisiana,"1,741,076",33.3%,1.8%,64.0%,0.0%,0.0%,0.4%,0.1%,0.0%,0.4%
Maine,"573,618",7.8%,12.1%,8.4%,60.1%,0.2%,9.4%,0.2%,1.5%,0.4%
Maryland,"2,226,767",43.9%,3.5%,42.2%,7.9%,0.1%,1.1%,0.4%,0.5%,0.5%
Massachusetts,"2,650,680",52.3%,3.7%,16.9%,24.4%,0.1%,1.2%,0.1%,0.8%,0.5%
Michigan,"3,969,880",76.4%,8.4%,10.2%,1.0%,0.0%,2.7%,0.0%,0.9%,0.4%
Minnesota,"2,222,568",66.2%,11.2%,17.3%,1.5%,0.0%,2.0%,0.0%,1.0%,0.7%
Mississippi,"1,100,229",28.9%,11.4%,58.0%,0.1%,0.0%,1.2%,0.0%,0.1%,0.3%
Missouri,"2,458,337",49.9%,9.0%,37.1%,0.2%,0.0%,3.0%,0.1%,0.3%,0.3%
Montana,"437,651",51.5%,13.5%,26.2%,0.9%,0.1%,6.8%,0.1%,0.7%,0.2%
Nebraska,"771,444",59.2%,7.4%,30.6%,0.4%,0.0%,1.1%,0.0%,0.8%,0.5%
Nevada,"1,143,557",58.1%,2.6%,36.1%,0.5%,0.0%,1.2%,0.3%,0.6%,0.5%
New Hampshire,"541,396",21.3%,17.4%,9.9%,42.1%,0.1%,6.4%,0.1%,1.8%,1.0%
New Jersey,"3,286,264",75.3%,2.2%,13.6%,7.4%,0.0%,0.3%,0.2%,0.4%,0.6%
New Mexico,"793,420",61.8%,6.2%,22.6%,0.2%,0.1%,7.1%,0.5%,1.2%,0.3%
New York,"7,446,812",60.7%,4.3%,12.2%,18.7%,0.2%,1.5%,0.1%,1.1%,1.1%
North Carolina,"4,046,348",24.4%,6.6%,64.3%,2.6%,0.0%,1.4%,0.0%,0.2%,0.5%
North Dakota,"323,519",40.0%,13.9%,41.3%,2.0%,0.2%,0.3%,0.0%,1.4%,0.8%
Ohio,"4,730,340",65.0%,5.4%,24.7%,2.0%,0.1%,1.6%,0.0%,0.8%,0.4%
Oklahoma,"1,495,151",51.0%,6.7%,39.5%,0.2%,0.0%,1.5%,0.0%,0.8%,0.3%
Oregon,"1,649,352",36.9%,1.8%,52.4%,1.6%,0.0%,6.0%,0.1%,0.8%,0.4%
Pennsylvania,"5,119,249",51.5%,4.6%,23.9%,15.5%,1.0%,2.3%,0.1%,0.7%,0.4%
Rhode Island,"407,174",55.3%,3.6%,10.3%,28.6%,0.0%,1.5%,0.1%,0.5%,0.2%
South Carolina,"1,975,915",23.5%,3.4%,70.9%,0.6%,0.0%,0.7%,0.2%,0.1%,0.5%
South Dakota,"353,799",46.4%,16.3%,32.5%,1.5%,0.0%,1.4%,0.0%,1.2%,0.7%
Tennessee,"2,654,737",31.3%,3.7%,62.5%,0.3%,0.0%,1.6%,0.0%,0.1%,0.3%
Texas,"9,985,126",35.0%,2.8%,61.1%,0.1%,0.0%,0.3%,0.1%,0.1%,0.4%
Utah,"1,023,855",80.8%,2.3%,14.8%,0.1%,0.1%,1.1%,0.2%,0.4%,0.2%
Vermont,"262,767",18.6%,18.4%,6.4%,41.4%,0.1%,13.1%,0.2%,1.8%,0.1%
Virginia,"3,191,847",32.6%,4.2%,56.2%,4.1%,0.0%,1.9%,0.1%,0.3%,0.5%
Washington,"2,932,477",34.2%,3.0%,56.3%,1.6%,0.0%,3.7%,0.1%,0.6%,0.5%
West Virginia,"728,175",39.9%,5.3%,45.0%,2.7%,0.6%,5.5%,0.0%,0.8%,0.2%
Wisconsin,"2,386,623",65.8%,12.0%,16.1%,1.7%,0.0%,3.0%,0.0%,0.8%,0.6%
Wyoming,"233,128",59.2%,12.1%,22.8%,0.1%,0.6%,4.1%,0.0%,0.8%,0.5%
