,    Total housing units,        Occupied housing units,        Vacant housing units,        Homeowner vacancy rate,        Rental vacancy rate
Alabama,"2,284,922",83.0%,17.0%,(X),(X)
Alaska,"319,867",78.8%,21.2%,(X),(X)
Arizona,"3,076,048",86.8%,13.2%,(X),(X)
Arkansas,"1,389,159",83.8%,16.2%,(X),(X)
California,"14,367,012",91.6%,8.4%,(X),(X)
Colorado,"2,464,109",90.7%,9.3%,(X),(X)
Connecticut,"1,524,959",90.3%,9.7%,(X),(X)
Delaware,"443,764",84.8%,15.2%,(X),(X)
District of Columbia,"322,814",90.3%,9.7%,(X),(X)
Florida,"9,674,053",81.7%,18.3%,(X),(X)
Georgia,"4,378,350",88.0%,12.0%,(X),(X)
Hawaii,"550,328",84.5%,15.5%,(X),(X)
Idaho,"751,113",87.3%,12.7%,(X),(X)
Illinois,"5,388,210",90.3%,9.7%,(X),(X)
Indiana,"2,921,115",88.9%,11.1%,(X),(X)
Iowa,"1,418,600",90.7%,9.3%,(X),(X)
Kansas,"1,288,430",88.4%,11.6%,(X),(X)
Kentucky,"2,006,335",87.2%,12.8%,(X),(X)
Louisiana,"2,089,824",83.3%,16.7%,(X),(X)
Maine,"750,964",76.4%,23.6%,(X),(X)
Maryland,"2,470,307",90.1%,9.9%,(X),(X)
Massachusetts,"2,928,818",90.5%,9.5%,(X),(X)
Michigan,"4,629,605",85.7%,14.3%,(X),(X)
Minnesota,"2,477,515",89.7%,10.3%,(X),(X)
Mississippi,"1,339,047",82.2%,17.8%,(X),(X)
Missouri,"2,819,334",87.2%,12.8%,(X),(X)
Montana,"519,938",84.2%,15.8%,(X),(X)
Nebraska,"851,167",90.6%,9.4%,(X),(X)
Nevada,"1,285,681",88.9%,11.1%,(X),(X)
New Hampshire,"642,298",84.3%,15.7%,(X),(X)
New Jersey,"3,641,854",90.2%,9.8%,(X),(X)
New Mexico,"948,470",83.7%,16.3%,(X),(X)
New York,"8,404,205",88.6%,11.4%,(X),(X)
North Carolina,"4,748,148",85.2%,14.8%,(X),(X)
North Dakota,"379,974",85.1%,14.9%,(X),(X)
Ohio,"5,232,943",90.4%,9.6%,(X),(X)
Oklahoma,"1,749,520",85.5%,14.5%,(X),(X)
Oregon,"1,808,482",91.2%,8.8%,(X),(X)
Pennsylvania,"5,732,580",89.3%,10.7%,(X),(X)
Rhode Island,"470,177",86.6%,13.4%,(X),(X)
South Carolina,"2,351,364",84.0%,16.0%,(X),(X)
South Dakota,"401,749",88.1%,11.9%,(X),(X)
Tennessee,"3,028,437",87.7%,12.3%,(X),(X)
Texas,"11,283,892",88.5%,11.5%,(X),(X)
Utah,"1,133,543",90.3%,9.7%,(X),(X)
Vermont,"339,412",77.4%,22.6%,(X),(X)
Virginia,"3,562,258",89.6%,10.4%,(X),(X)
Washington,"3,195,098",91.8%,8.2%,(X),(X)
West Virginia,"894,983",81.4%,18.6%,(X),(X)
Wisconsin,"2,725,153",87.6%,12.4%,(X),(X)
Wyoming,"280,281",83.2%,16.8%,(X),(X)
