,    Occupied housing units,        Owner-occupied,        Renter-occupied,        Average household size of owner-occupied unit,        Average household size of renter-occupied unit
Alabama,"1,897,576","1,305,223","592,353",2.60,2.35
Alaska,"252,199","163,272","88,927",2.90,2.60
Arizona,"2,670,441","1,742,670","927,771",2.71,2.59
Arkansas,"1,163,647","761,809","401,838",2.59,2.39
California,"13,157,873","7,218,742","5,939,131",3.02,2.85
Colorado,"2,235,103","1,471,912","763,191",2.63,2.32
Connecticut,"1,377,166","895,594","481,572",2.65,2.24
Delaware,"376,239","264,503","111,736",2.57,2.40
District of Columbia,"291,570","120,988","170,582",2.54,2.11
Florida,"7,905,832","5,237,519","2,668,313",2.67,2.66
Georgia,"3,852,714","2,470,572","1,382,142",2.77,2.54
Hawaii,"465,299","279,960","185,339",3.10,2.73
Idaho,"655,859","469,387","186,472",2.76,2.48
Illinois,"4,866,006","3,211,867","1,654,139",2.70,2.25
Indiana,"2,597,765","1,800,483","797,282",2.63,2.26
Iowa,"1,287,221","907,880","379,341",2.48,2.13
Kansas,"1,138,329","756,566","381,763",2.63,2.21
Kentucky,"1,748,732","1,171,824","576,908",2.56,2.32
Louisiana,"1,741,076","1,157,652","583,424",2.67,2.45
Maine,"573,618","414,119","159,499",2.38,2.02
Maryland,"2,226,767","1,488,168","738,599",2.74,2.46
Massachusetts,"2,650,680","1,647,747","1,002,933",2.68,2.22
Michigan,"3,969,880","2,841,195","1,128,685",2.56,2.21
Minnesota,"2,222,568","1,598,396","624,172",2.62,2.12
Mississippi,"1,100,229","740,651","359,578",2.67,2.52
Missouri,"2,458,337","1,650,019","808,318",2.55,2.18
Montana,"437,651","301,456","136,195",2.49,2.12
Nebraska,"771,444","511,370","260,074",2.60,2.13
Nevada,"1,143,557","647,518","496,039",2.75,2.55
New Hampshire,"541,396","384,166","157,230",2.60,2.04
New Jersey,"3,286,264","2,081,798","1,204,466",2.77,2.43
New Mexico,"793,420","540,052","253,368",2.64,2.48
New York,"7,446,812","3,985,516","3,461,296",2.71,2.34
North Carolina,"4,046,348","2,642,709","1,403,639",2.59,2.40
North Dakota,"323,519","198,411","125,108",2.49,1.94
Ohio,"4,730,340","3,123,733","1,606,607",2.52,2.17
Oklahoma,"1,495,151","979,898","515,253",2.64,2.44
Oregon,"1,649,352","1,037,125","612,227",2.63,2.29
Pennsylvania,"5,119,249","3,501,824","1,617,425",2.54,2.16
Rhode Island,"407,174","251,146","156,028",2.69,2.20
South Carolina,"1,975,915","1,388,492","587,423",2.58,2.45
South Dakota,"353,799","239,931","113,868",2.54,2.12
Tennessee,"2,654,737","1,765,720","889,017",2.59,2.36
Texas,"9,985,126","6,179,278","3,805,848",2.99,2.60
Utah,"1,023,855","723,288","300,567",3.26,2.66
Vermont,"262,767","186,252","76,515",2.41,1.95
Virginia,"3,191,847","2,110,713","1,081,134",2.69,2.42
Washington,"2,932,477","1,849,692","1,082,785",2.66,2.35
West Virginia,"728,175","534,568","193,607",2.45,2.24
Wisconsin,"2,386,623","1,603,906","782,717",2.51,2.10
Wyoming,"233,128","167,582","65,546",2.50,2.22
