,    Owner-occupied units,        Housing units with a mortgage,        Housing units without a mortgage
Alabama,"1,305,223","721,996","583,227"
Alaska,"163,272","99,293","63,979"
Arizona,"1,742,670","1,087,076","655,594"
Arkansas,"761,809","403,551","358,258"
California,"7,218,742","4,978,989","2,239,753"
Colorado,"1,471,912","1,042,379","429,533"
Connecticut,"895,594","593,009","302,585"
Delaware,"264,503","173,325","91,178"
District of Columbia,"120,988","92,531","28,457"
Florida,"5,237,519","2,948,085","2,289,434"
Georgia,"2,470,572","1,585,366","885,206"
Hawaii,"279,960","180,304","99,656"
Idaho,"469,387","301,624","167,763"
Illinois,"3,211,867","2,004,309","1,207,558"
Indiana,"1,800,483","1,174,571","625,912"
Iowa,"907,880","543,781","364,099"
Kansas,"756,566","438,405","318,161"
Kentucky,"1,171,824","667,344","504,480"
Louisiana,"1,157,652","598,175","559,477"
Maine,"414,119","250,451","163,668"
Maryland,"1,488,168","1,070,608","417,560"
Massachusetts,"1,647,747","1,124,858","522,889"
Michigan,"2,841,195","1,685,281","1,155,914"
Minnesota,"1,598,396","1,041,172","557,224"
Mississippi,"740,651","363,937","376,714"
Missouri,"1,650,019","993,671","656,348"
Montana,"301,456","166,940","134,516"
Nebraska,"511,370","304,241","207,129"
Nevada,"647,518","436,321","211,197"
New Hampshire,"384,166","249,449","134,717"
New Jersey,"2,081,798","1,366,281","715,517"
New Mexico,"540,052","285,674","254,378"
New York,"3,985,516","2,374,462","1,611,054"
North Carolina,"2,642,709","1,670,406","972,303"
North Dakota,"198,411","103,355","95,056"
Ohio,"3,123,733","1,940,200","1,183,533"
Oklahoma,"979,898","533,145","446,753"
Oregon,"1,037,125","685,197","351,928"
Pennsylvania,"3,501,824","2,069,571","1,432,253"
Rhode Island,"251,146","166,570","84,576"
South Carolina,"1,388,492","804,981","583,511"
South Dakota,"239,931","133,395","106,536"
Tennessee,"1,765,720","1,028,238","737,482"
Texas,"6,179,278","3,464,948","2,714,330"
Utah,"723,288","506,690","216,598"
Vermont,"186,252","114,853","71,399"
Virginia,"2,110,713","1,429,344","681,369"
Washington,"1,849,692","1,252,895","596,797"
West Virginia,"534,568","247,795","286,773"
Wisconsin,"1,603,906","1,005,737","598,169"
Wyoming,"167,582","99,193","68,389"
