,    Occupied housing units,        1.00 or less,        1.01 to 1.50,        1.51 or more
Alabama,"1,897,576",98.5%,1.2%,0.4%
Alaska,"252,199",93.3%,3.9%,2.8%
Arizona,"2,670,441",95.7%,3.0%,1.4%
Arkansas,"1,163,647",97.2%,2.2%,0.7%
California,"13,157,873",91.8%,5.2%,2.9%
Colorado,"2,235,103",97.3%,1.8%,0.9%
Connecticut,"1,377,166",98.4%,1.1%,0.5%
Delaware,"376,239",98.2%,1.3%,0.5%
District of Columbia,"291,570",97.3%,1.5%,1.2%
Florida,"7,905,832",97.1%,2.0%,0.9%
Georgia,"3,852,714",97.9%,1.5%,0.6%
Hawaii,"465,299",91.5%,4.9%,3.6%
Idaho,"655,859",97.2%,2.2%,0.7%
Illinois,"4,866,006",97.7%,1.6%,0.7%
Indiana,"2,597,765",98.5%,1.1%,0.4%
Iowa,"1,287,221",98.2%,1.3%,0.5%
Kansas,"1,138,329",98.1%,1.3%,0.6%
Kentucky,"1,748,732",97.9%,1.5%,0.6%
Louisiana,"1,741,076",97.7%,1.8%,0.5%
Maine,"573,618",98.5%,0.8%,0.7%
Maryland,"2,226,767",97.6%,1.6%,0.8%
Massachusetts,"2,650,680",97.9%,1.4%,0.7%
Michigan,"3,969,880",98.4%,1.2%,0.4%
Minnesota,"2,222,568",97.9%,1.4%,0.7%
Mississippi,"1,100,229",97.4%,1.6%,1.0%
Missouri,"2,458,337",98.1%,1.4%,0.5%
Montana,"437,651",98.1%,1.4%,0.5%
Nebraska,"771,444",98.1%,1.4%,0.5%
Nevada,"1,143,557",95.7%,3.0%,1.3%
New Hampshire,"541,396",98.5%,1.1%,0.4%
New Jersey,"3,286,264",96.8%,2.1%,1.1%
New Mexico,"793,420",96.7%,2.4%,1.0%
New York,"7,446,812",95.1%,3.1%,1.9%
North Carolina,"4,046,348",97.7%,1.7%,0.6%
North Dakota,"323,519",98.2%,1.0%,0.8%
Ohio,"4,730,340",98.5%,1.1%,0.4%
Oklahoma,"1,495,151",97.4%,1.9%,0.7%
Oregon,"1,649,352",96.6%,2.1%,1.3%
Pennsylvania,"5,119,249",98.5%,1.0%,0.5%
Rhode Island,"407,174",98.1%,1.3%,0.6%
South Carolina,"1,975,915",97.8%,1.6%,0.7%
South Dakota,"353,799",98.0%,1.3%,0.6%
Tennessee,"2,654,737",98.1%,1.4%,0.5%
Texas,"9,985,126",95.3%,3.3%,1.4%
Utah,"1,023,855",96.6%,2.7%,0.7%
Vermont,"262,767",98.1%,0.8%,1.1%
Virginia,"3,191,847",98.0%,1.5%,0.5%
Washington,"2,932,477",96.5%,2.3%,1.3%
West Virginia,"728,175",98.8%,0.9%,0.3%
Wisconsin,"2,386,623",98.5%,1.2%,0.4%
Wyoming,"233,128",97.9%,1.7%,0.4%
