,    Total housing units,        1 room,        2 rooms,        3 rooms,        4 rooms,        5 rooms,        6 rooms,        7 rooms,        8 rooms,        9 rooms or more,        Median rooms
Alabama,"2,284,922","30,360","28,690","127,809","331,202","512,068","465,237","315,028","209,788","264,740",5.7
Alaska,"319,867","23,793","22,519","37,131","59,530","60,746","42,166","27,487","20,115","26,380",4.8
Arizona,"3,076,048","83,731","117,603","300,991","518,057","653,040","576,090","351,270","238,240","237,026",5.3
Arkansas,"1,389,159","29,080","28,161","94,540","225,823","339,378","277,268","177,359","105,279","112,271",5.4
California,"14,367,012","576,699","610,732","1,781,431","2,794,166","2,778,442","2,407,796","1,473,852","989,529","954,365",5.0
Colorado,"2,464,109","51,194","106,327","257,122","370,581","378,477","355,575","275,638","231,507","437,688",5.7
Connecticut,"1,524,959","30,639","49,331","146,225","231,825","278,858","262,749","192,434","141,935","190,963",5.6
Delaware,"443,764","4,975","3,894","29,615","56,040","66,028","86,988","67,677","56,825","71,722",6.2
District of Columbia,"322,814","25,752","35,446","70,913","57,180","35,162","27,851","22,478","19,236","28,796",4.0
Florida,"9,674,053","188,732","263,784","1,004,555","2,018,454","2,155,757","1,742,201","1,035,898","642,610","622,062",5.1
Georgia,"4,378,350","62,930","76,668","274,848","616,835","855,735","810,236","590,175","447,428","643,495",5.9
Hawaii,"550,328","32,515","37,862","79,594","110,072","103,828","83,119","42,470","29,159","31,709",4.6
Idaho,"751,113","13,148","17,620","49,273","113,303","141,976","122,922","92,635","76,773","123,463",5.8
Illinois,"5,388,210","130,968","131,543","460,043","843,774","1,046,119","949,775","645,924","482,273","697,791",5.6
Indiana,"2,921,115","39,333","46,350","194,416","396,412","599,961","565,616","402,228","288,935","387,864",5.8
Iowa,"1,418,600","23,599","32,902","111,509","205,848","247,479","244,036","186,522","144,739","221,966",5.9
Kansas,"1,288,430","24,084","28,820","89,255","178,065","215,699","228,998","174,176","133,913","215,420",6.0
Kentucky,"2,006,335","31,280","36,225","151,845","319,336","441,031","358,829","252,729","172,967","242,093",5.6
Louisiana,"2,089,824","30,380","43,869","159,917","356,273","514,930","402,206","253,438","159,041","169,770",5.4
Maine,"750,964","19,966","27,894","64,137","127,181","149,873","136,179","89,016","58,842","77,876",5.4
Maryland,"2,470,307","45,133","55,396","192,337","321,819","341,505","398,405","324,853","278,086","512,773",6.2
Massachusetts,"2,928,818","68,818","106,345","310,853","461,025","514,017","498,977","356,435","273,394","338,954",5.5
Michigan,"4,629,605","71,760","88,648","338,070","650,659","923,471","902,895","601,081","439,968","613,053",5.8
Minnesota,"2,477,515","52,301","76,480","228,127","336,344","350,959","366,768","314,607","270,474","481,455",6.0
Mississippi,"1,339,047","23,302","16,357","77,686","201,444","324,499","277,958","180,096","115,127","122,578",5.6
Missouri,"2,819,334","55,171","66,761","206,446","430,806","584,794","529,372","348,984","250,989","346,011",5.6
Montana,"519,938","14,722","18,660","45,959","84,977","97,455","77,872","58,601","45,217","76,475",5.5
Nebraska,"851,167","12,498","22,698","67,968","118,458","127,737","136,064","112,647","92,825","160,272",6.1
Nevada,"1,285,681","40,086","53,027","141,279","235,127","267,595","222,131","139,565","92,041","94,830",5.1
New Hampshire,"642,298","16,616","18,518","58,603","106,380","116,367","112,633","76,353","59,197","77,631",5.5
New Jersey,"3,641,854","100,749","91,818","370,225","555,508","593,525","570,030","454,214","372,912","532,873",5.7
New Mexico,"948,470","25,410","28,181","72,494","166,162","232,033","171,054","113,924","69,737","69,475",5.3
New York,"8,404,205","353,543","365,068","1,268,809","1,570,867","1,321,561","1,241,765","830,632","625,698","826,262",5.0
North Carolina,"4,748,148","75,783","87,608","356,447","800,152","1,043,591","851,875","568,680","406,291","557,721",5.5
North Dakota,"379,974","8,544","12,480","41,549","65,893","55,505","49,114","42,102","36,097","68,690",5.6
Ohio,"5,232,943","81,287","93,244","361,153","714,252","980,672","996,343","737,510","544,469","724,013",5.9
Oklahoma,"1,749,520","31,149","35,234","127,733","259,253","437,824","365,330","220,324","128,908","143,765",5.5
Oregon,"1,808,482","62,068","71,487","180,180","302,991","348,459","302,461","208,820","144,026","187,990",5.3
Pennsylvania,"5,732,580","112,875","121,880","431,035","690,319","904,707","1,205,338","831,791","617,709","816,926",6.0
Rhode Island,"470,177","11,726","13,379","54,271","83,502","91,664","87,153","55,144","33,320","40,018",5.3
South Carolina,"2,351,364","39,707","35,859","135,420","348,839","516,225","466,889","324,948","219,068","264,409",5.7
South Dakota,"401,749","6,482","13,859","35,071","60,545","63,537","56,562","49,145","45,205","71,343",5.9
Tennessee,"3,028,437","43,060","54,394","220,357","470,495","639,565","576,656","379,280","269,747","374,883",5.6
Texas,"11,283,892","248,685","423,123","1,194,895","1,823,457","2,301,443","2,018,740","1,266,174","880,956","1,126,419",5.3
Utah,"1,133,543","20,350","27,873","76,967","153,146","170,674","145,967","124,277","131,631","282,658",6.3
Vermont,"339,412","13,799","11,331","34,536","51,267","56,641","57,795","40,381","31,957","41,705",5.5
Virginia,"3,562,258","49,687","79,298","262,872","498,200","603,335","586,905","447,920","385,033","649,008",6.0
Washington,"3,195,098","112,083","148,470","310,075","493,765","544,759","515,390","373,009","291,478","406,069",5.5
West Virginia,"894,983","16,411","13,346","49,253","128,795","194,452","185,678","119,977","81,252","105,819",5.7
Wisconsin,"2,725,153","49,113","68,871","237,475","438,811","533,441","473,121","344,521","242,542","337,258",5.6
Wyoming,"280,281","4,385","7,918","18,653","44,324","54,958","44,370","32,767","29,033","43,873",5.7
