,    Occupied housing units,        Lacking complete plumbing facilities,        Lacking complete kitchen facilities,        No telephone service available
Alabama,"1,897,576",0.4%,0.7%,1.4%
Alaska,"252,199",3.2%,2.5%,1.4%
Arizona,"2,670,441",0.7%,1.0%,1.2%
Arkansas,"1,163,647",0.5%,1.0%,1.4%
California,"13,157,873",0.4%,1.1%,0.9%
Colorado,"2,235,103",0.3%,0.7%,0.8%
Connecticut,"1,377,166",0.5%,0.7%,0.8%
Delaware,"376,239",0.2%,0.4%,0.5%
District of Columbia,"291,570",0.1%,0.6%,1.0%
Florida,"7,905,832",0.3%,0.7%,1.2%
Georgia,"3,852,714",0.3%,0.7%,1.0%
Hawaii,"465,299",0.7%,1.7%,1.2%
Idaho,"655,859",0.3%,0.9%,0.7%
Illinois,"4,866,006",0.3%,0.9%,1.0%
Indiana,"2,597,765",0.4%,0.8%,1.4%
Iowa,"1,287,221",0.3%,1.0%,1.0%
Kansas,"1,138,329",0.3%,0.8%,0.9%
Kentucky,"1,748,732",0.4%,0.8%,1.2%
Louisiana,"1,741,076",0.4%,0.8%,1.2%
Maine,"573,618",0.6%,0.9%,1.0%
Maryland,"2,226,767",0.3%,0.6%,0.9%
Massachusetts,"2,650,680",0.3%,0.7%,0.8%
Michigan,"3,969,880",0.3%,0.7%,0.8%
Minnesota,"2,222,568",0.3%,0.7%,0.7%
Mississippi,"1,100,229",0.4%,0.6%,1.4%
Missouri,"2,458,337",0.4%,0.7%,1.0%
Montana,"437,651",0.6%,0.9%,1.3%
Nebraska,"771,444",0.3%,1.1%,0.9%
Nevada,"1,143,557",0.6%,0.9%,1.3%
New Hampshire,"541,396",0.7%,0.8%,0.9%
New Jersey,"3,286,264",0.3%,0.8%,0.9%
New Mexico,"793,420",0.9%,1.0%,1.5%
New York,"7,446,812",0.4%,0.7%,1.2%
North Carolina,"4,046,348",0.3%,0.6%,1.0%
North Dakota,"323,519",0.4%,0.5%,0.8%
Ohio,"4,730,340",0.3%,1.0%,1.0%
Oklahoma,"1,495,151",0.4%,0.9%,1.1%
Oregon,"1,649,352",0.5%,1.6%,0.8%
Pennsylvania,"5,119,249",0.4%,1.0%,1.0%
Rhode Island,"407,174",0.4%,1.0%,0.8%
South Carolina,"1,975,915",0.3%,0.7%,1.1%
South Dakota,"353,799",0.3%,0.7%,1.6%
Tennessee,"2,654,737",0.3%,0.7%,1.4%
Texas,"9,985,126",0.4%,0.8%,1.0%
Utah,"1,023,855",0.4%,0.8%,0.7%
Vermont,"262,767",0.6%,1.2%,1.3%
Virginia,"3,191,847",0.3%,0.6%,0.8%
Washington,"2,932,477",0.3%,1.1%,0.9%
West Virginia,"728,175",0.5%,0.7%,1.5%
Wisconsin,"2,386,623",0.3%,0.7%,1.1%
Wyoming,"233,128",0.3%,0.6%,0.9%
