,    Housing units with a mortgage,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),    Housing units without a mortgage,        Less than $250,        $250 to $399,        $400 to $599,        $600 to $799,        $800 to $999,"        $1,000 or more",        Median (dollars)
Alabama,"721,996","16,754","238,768","257,971","117,806","50,942","19,963","19,792","1,172","583,227","121,693","226,348","162,496","48,333","14,557","9,800",362
Alaska,"99,293","1,199","5,792","18,748","31,185","20,146","11,444","10,779","1,882","63,979","8,215","9,806","15,791","14,267","7,967","7,933",577
Arizona,"1,087,076","15,974","201,125","356,562","253,994","128,188","67,566","63,667","1,457","655,594","112,030","192,842","198,443","88,791","33,391","30,097",421
Arkansas,"403,551","12,588","159,272","132,090","55,921","23,768","10,960","8,952","1,094","358,258","92,070","131,706","97,116","23,059","7,620","6,687",348
California,"4,978,989","28,814","221,703","631,192","888,497","855,187","705,697","1,647,899","2,421","2,239,753","174,400","348,884","546,511","436,803","284,064","449,091",622
Colorado,"1,042,379","7,821","94,369","230,861","267,132","195,172","119,956","127,068","1,845","429,533","39,753","101,691","144,485","77,393","35,220","30,991",495
Connecticut,"593,009","1,989","23,329","98,913","151,784","117,853","75,918","123,223","2,087","302,585","3,284","7,403","32,494","70,052","66,198","123,154",912
Delaware,"173,325","2,194","23,360","54,541","49,032","24,775","11,040","8,383","1,557","91,178","9,746","24,773","30,048","15,251","6,119","5,241",463
District of Columbia,"92,531",389,"4,013","8,256","14,032","14,809","12,921","38,111","2,684","28,457","2,337","2,922","5,124","5,203","3,704","9,167",720
Florida,"2,948,085","35,100","523,143","869,800","672,646","378,948","201,093","267,355","1,530","2,289,434","295,614","486,694","615,676","401,515","206,894","283,041",512
Georgia,"1,585,366","18,239","311,020","512,257","347,568","181,244","100,102","114,936","1,450","885,206","128,170","265,956","267,407","127,146","47,900","48,627",431
Hawaii,"180,304",852,"10,251","20,115","28,268","32,485","26,658","61,675","2,472","99,656","11,438","18,331","26,555","18,923","11,241","13,168",542
Idaho,"301,624","6,842","73,710","110,274","60,682","28,919","10,894","10,303","1,306","167,763","29,257","62,579","47,130","18,109","5,700","4,988",380
Illinois,"2,004,309","22,173","302,767","497,359","446,615","301,879","177,504","256,012","1,688","1,207,558","68,461","177,222","300,720","264,740","168,204","228,211",641
Indiana,"1,174,571","28,780","416,908","422,235","176,354","71,237","29,324","29,733","1,146","625,912","83,192","209,139","211,044","80,225","24,124","18,188",416
Iowa,"543,781","8,086","145,615","198,513","103,149","48,954","18,687","20,777","1,266","364,099","27,488","77,314","139,404","70,442","28,681","20,770",503
Kansas,"438,405","6,459","97,699","147,670","93,180","46,559","23,117","23,721","1,387","318,161","27,709","69,406","106,076","65,302","27,849","21,819",513
Kentucky,"667,344","18,602","217,303","238,352","107,254","45,388","17,579","22,866","1,179","504,480","111,510","173,341","145,755","44,676","17,172","12,026",372
