,    Housing units with a mortgage,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),    Housing units without a mortgage,        Less than $250,        $250 to $399,        $400 to $599,        $600 to $799,        $800 to $999,"        $1,000 or more",        Median (dollars)
Alabama,"721,996",2.3%,33.1%,35.7%,16.3%,7.1%,2.8%,2.7%,(X),"583,227",20.9%,38.8%,27.9%,8.3%,2.5%,1.7%,(X)
Alaska,"99,293",1.2%,5.8%,18.9%,31.4%,20.3%,11.5%,10.9%,(X),"63,979",12.8%,15.3%,24.7%,22.3%,12.5%,12.4%,(X)
Arizona,"1,087,076",1.5%,18.5%,32.8%,23.4%,11.8%,6.2%,5.9%,(X),"655,594",17.1%,29.4%,30.3%,13.5%,5.1%,4.6%,(X)
Arkansas,"403,551",3.1%,39.5%,32.7%,13.9%,5.9%,2.7%,2.2%,(X),"358,258",25.7%,36.8%,27.1%,6.4%,2.1%,1.9%,(X)
California,"4,978,989",0.6%,4.5%,12.7%,17.8%,17.2%,14.2%,33.1%,(X),"2,239,753",7.8%,15.6%,24.4%,19.5%,12.7%,20.1%,(X)
Colorado,"1,042,379",0.8%,9.1%,22.1%,25.6%,18.7%,11.5%,12.2%,(X),"429,533",9.3%,23.7%,33.6%,18.0%,8.2%,7.2%,(X)
Connecticut,"593,009",0.3%,3.9%,16.7%,25.6%,19.9%,12.8%,20.8%,(X),"302,585",1.1%,2.4%,10.7%,23.2%,21.9%,40.7%,(X)
Delaware,"173,325",1.3%,13.5%,31.5%,28.3%,14.3%,6.4%,4.8%,(X),"91,178",10.7%,27.2%,33.0%,16.7%,6.7%,5.7%,(X)
District of Columbia,"92,531",0.4%,4.3%,8.9%,15.2%,16.0%,14.0%,41.2%,(X),"28,457",8.2%,10.3%,18.0%,18.3%,13.0%,32.2%,(X)
Florida,"2,948,085",1.2%,17.7%,29.5%,22.8%,12.9%,6.8%,9.1%,(X),"2,289,434",12.9%,21.3%,26.9%,17.5%,9.0%,12.4%,(X)
Georgia,"1,585,366",1.2%,19.6%,32.3%,21.9%,11.4%,6.3%,7.2%,(X),"885,206",14.5%,30.0%,30.2%,14.4%,5.4%,5.5%,(X)
Hawaii,"180,304",0.5%,5.7%,11.2%,15.7%,18.0%,14.8%,34.2%,(X),"99,656",11.5%,18.4%,26.6%,19.0%,11.3%,13.2%,(X)
Idaho,"301,624",2.3%,24.4%,36.6%,20.1%,9.6%,3.6%,3.4%,(X),"167,763",17.4%,37.3%,28.1%,10.8%,3.4%,3.0%,(X)
Illinois,"2,004,309",1.1%,15.1%,24.8%,22.3%,15.1%,8.9%,12.8%,(X),"1,207,558",5.7%,14.7%,24.9%,21.9%,13.9%,18.9%,(X)
Indiana,"1,174,571",2.5%,35.5%,35.9%,15.0%,6.1%,2.5%,2.5%,(X),"625,912",13.3%,33.4%,33.7%,12.8%,3.9%,2.9%,(X)
Iowa,"543,781",1.5%,26.8%,36.5%,19.0%,9.0%,3.4%,3.8%,(X),"364,099",7.5%,21.2%,38.3%,19.3%,7.9%,5.7%,(X)
Kansas,"438,405",1.5%,22.3%,33.7%,21.3%,10.6%,5.3%,5.4%,(X),"318,161",8.7%,21.8%,33.3%,20.5%,8.8%,6.9%,(X)
Kentucky,"667,344",2.8%,32.6%,35.7%,16.1%,6.8%,2.6%,3.4%,(X),"504,480",22.1%,34.4%,28.9%,8.9%,3.4%,2.4%,(X)
Louisiana,"598,175",2.4%,26.5%,35.5%,19.3%,8.7%,3.3%,4.4%,(X),"559,477",28.7%,33.4%,22.6%,9.2%,3.0%,3.1%,(X)
Maine,"250,451",1.8%,21.0%,34.7%,21.8%,11.3%,4.7%,4.7%,(X),"163,668",9.9%,21.5%,31.5%,19.3%,9.6%,8.2%,(X)
Maryland,"1,070,608",0.6%,6.9%,17.7%,24.2%,19.1%,12.7%,18.8%,(X),"417,560",4.9%,12.5%,31.1%,24.6%,12.9%,14.0%,(X)
Massachusetts,"1,124,858",0.5%,4.0%,13.5%,20.6%,20.7%,15.7%,25.1%,(X),"522,889",2.2%,4.1%,14.9%,25.6%,20.7%,32.4%,(X)
Michigan,"1,685,281",1.7%,26.4%,35.4%,19.0%,8.8%,4.1%,4.6%,(X),"1,155,914",8.4%,24.2%,35.8%,18.4%,7.1%,6.1%,(X)
Minnesota,"1,041,172",0.8%,13.5%,30.0%,26.8%,14.4%,6.9%,7.6%,(X),"557,224",6.2%,16.9%,35.6%,24.5%,9.4%,7.5%,(X)
Mississippi,"363,937",2.7%,35.8%,34.4%,15.9%,6.1%,2.7%,2.4%,(X),"376,714",23.8%,36.6%,25.6%,8.9%,3.1%,2.0%,(X)
Missouri,"993,671",1.6%,27.7%,35.3%,19.3%,8.5%,3.6%,4.0%,(X),"656,348",12.6%,28.5%,35.1%,14.9%,4.8%,4.1%,(X)
Montana,"166,940",1.7%,18.5%,31.9%,26.3%,11.3%,5.1%,5.1%,(X),"134,516",12.7%,25.6%,40.0%,14.3%,4.1%,3.4%,(X)
Nebraska,"304,241",1.0%,18.5%,35.7%,25.0%,10.3%,4.7%,4.8%,(X),"207,129",7.4%,18.8%,34.9%,22.2%,9.2%,7.5%,(X)
Nevada,"436,321",1.0%,12.6%,31.4%,26.8%,15.6%,6.5%,6.0%,(X),"211,197",12.0%,34.0%,29.5%,13.2%,4.9%,6.4%,(X)
New Hampshire,"249,449",0.5%,5.3%,19.1%,27.2%,23.3%,12.3%,12.3%,(X),"134,717",3.1%,6.1%,14.7%,24.1%,22.0%,30.1%,(X)
New Jersey,"1,366,281",0.3%,2.8%,10.2%,19.7%,20.6%,15.8%,30.7%,(X),"715,517",2.5%,2.8%,6.9%,14.2%,19.7%,53.9%,(X)
