,    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 20.0 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 10.0 percent,        10.0 to 14.9 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed
Alabama,"717,054","390,929","98,865","64,209","38,151","124,900","4,942","575,365","306,061","108,567","55,668","29,523","19,914","13,017","42,615","7,862"
Alaska,"99,133","43,693","17,123","11,415","6,805","20,097",160,"63,480","33,356","12,223","5,642","3,230","2,374",891,"5,764",499
Arizona,"1,080,957","519,211","167,721","116,766","68,956","208,303","6,119","643,966","348,968","109,302","59,786","33,922","19,820","15,488","56,680","11,628"
Arkansas,"402,301","222,309","58,575","34,840","22,106","64,471","1,250","353,850","191,663","62,255","34,660","21,684","10,598","8,907","24,083","4,408"
California,"4,956,570","1,741,460","777,114","598,983","426,746","1,412,267","22,419","2,211,948","1,069,514","391,020","204,518","135,501","91,298","63,808","256,289","27,805"
Colorado,"1,037,968","468,061","166,327","112,673","75,538","215,369","4,411","424,659","232,411","71,073","38,490","22,098","14,368","9,422","36,797","4,874"
Connecticut,"590,065","249,801","93,825","65,212","46,085","135,142","2,944","298,695","99,058","60,019","38,803","23,943","16,766","10,954","49,152","3,890"
Delaware,"173,034","85,632","26,046","17,841","10,050","33,465",291,"90,370","49,590","14,889","7,140","4,028","2,352","3,494","8,877",808
District of Columbia,"92,007","42,984","15,812","9,936","7,485","15,790",524,"27,875","16,593","3,876","2,226","1,228",955,394,"2,603",582
Florida,"2,930,921","1,228,515","444,502","309,403","215,336","733,165","17,164","2,255,810","1,001,078","423,603","246,345","153,070","105,258","64,234","262,222","33,624"
Georgia,"1,574,784","795,032","252,254","143,684","92,899","290,915","10,582","868,476","462,078","157,087","77,896","48,170","33,157","20,751","69,337","16,730"
Hawaii,"179,819","58,028","25,717","22,304","17,887","55,883",485,"98,403","54,715","16,674","7,047","5,361","3,086","2,004","9,516","1,253"
Idaho,"300,516","147,716","53,208","28,644","19,423","51,525","1,108","166,325","93,798","30,545","14,167","8,108","4,468","2,469","12,770","1,438"
Illinois,"1,996,793","957,967","325,450","201,948","127,728","383,700","7,516","1,194,062","478,699","263,931","144,848","83,372","53,395","33,313","136,504","13,496"
Indiana,"1,168,904","690,202","160,007","99,356","62,266","157,073","5,667","619,994","325,762","119,998","58,807","34,628","22,932","12,357","45,510","5,918"
Iowa,"542,787","303,661","86,984","49,954","26,566","75,622",994,"360,980","163,934","76,448","44,853","22,647","14,573","10,104","28,421","3,119"
Kansas,"437,329","238,461","72,477","41,759","24,772","59,860","1,076","315,553","141,917","72,393","35,295","22,488","12,414","7,161","23,885","2,608"
Kentucky,"665,480","365,026","97,596","61,526","37,590","103,742","1,864","497,814","251,582","92,935","52,316","30,556","20,918","9,915","39,592","6,666"
Louisiana,"593,279","316,952","80,600","48,656","33,485","113,586","4,896","548,936","305,048","92,372","52,975","28,831","14,939","9,731","45,040","10,541"
Maine,"249,851","119,638","41,048","24,549","16,548","48,068",600,"162,095","64,886","33,231","19,618","12,349","8,625","4,562","18,824","1,573"
Maryland,"1,065,836","496,061","177,514","113,797","79,973","198,491","4,772","413,479","207,067","75,214","41,381","24,142","13,861","10,375","41,439","4,081"
Massachusetts,"1,121,776","484,289","180,120","131,173","85,274","240,920","3,082","518,585","194,007","103,227","67,989","40,437","26,397","16,832","69,696","4,304"
Michigan,"1,679,941","901,460","252,270","153,609","98,919","273,683","5,340","1,142,192","511,064","229,240","131,663","77,679","49,260","30,969","112,317","13,722"
Minnesota,"1,039,280","552,213","167,630","104,352","63,876","151,209","1,892","552,600","268,019","111,934","59,527","33,739","19,115","14,724","45,542","4,624"
Mississippi,"361,423","185,291","48,375","34,569","22,608","70,580","2,514","368,468","183,845","70,662","36,989","21,923","14,692","10,060","30,297","8,246"
Missouri,"990,561","541,432","155,208","91,437","54,784","147,700","3,110","648,400","310,920","127,942","74,215","38,469","23,600","16,685","56,569","7,948"
