,    Total housing units,"        1-unit, detached","        1-unit, attached",        2 units,        3 or 4 units,        5 to 9 units,        10 to 19 units,        20 or more units,        Mobile home,"        Boat, RV, van, etc."
Alabama,"2,284,922","1,557,624","39,749","40,094","70,458","97,787","76,626","98,392","300,680","3,512"
Alaska,"319,867","200,974","23,055","17,751","22,945","15,015","9,482","16,673","13,323",649
Arizona,"3,076,048","1,947,693","146,661","41,549","105,392","122,556","135,998","246,845","317,116","12,238"
Arkansas,"1,389,159","968,020","20,674","43,794","48,582","48,544","53,218","40,734","163,623","1,970"
California,"14,367,012","8,206,562","982,710","342,815","789,366","876,097","749,775","1,864,561","537,931","17,195"
Colorado,"2,464,109","1,537,618","176,843","35,327","79,049","114,135","137,535","284,118","97,976","1,508"
Connecticut,"1,524,959","889,358","83,539","120,980","134,603","82,042","59,136","144,071","10,931",299
Delaware,"443,764","262,349","67,308","7,036","10,098","19,347","20,483","23,847","33,258",38
District of Columbia,"322,814","37,010","77,927","10,687","21,833","24,129","32,320","118,504",404,0
Florida,"9,674,053","5,241,393","596,992","181,427","368,452","484,184","553,526","1,377,648","854,599","15,832"
Georgia,"4,378,350","2,888,722","182,565","97,166","118,958","202,566","204,059","287,643","391,950","4,721"
Hawaii,"550,328","292,193","45,681","13,224","21,080","35,710","26,660","114,048","1,658",74
Idaho,"751,113","547,391","24,711","16,451","32,346","21,536","15,223","28,672","63,048","1,735"
Illinois,"5,388,210","3,149,162","313,725","305,868","341,228","338,789","199,540","606,930","131,171","1,797"
Indiana,"2,921,115","2,136,742","111,048","69,639","97,942","148,108","103,823","121,486","131,535",792
Iowa,"1,418,600","1,024,256","61,775","31,364","45,405","52,720","62,432","90,708","49,099",841
Kansas,"1,288,430","927,854","62,357","33,773","46,478","48,484","45,877","65,277","57,763",567
Kentucky,"2,006,335","1,347,772","51,886","59,374","83,300","93,307","72,310","68,619","228,536","1,231"
Louisiana,"2,089,824","1,368,361","52,709","83,877","83,878","64,778","59,826","98,254","275,521","2,620"
Maine,"750,964","528,983","15,369","36,937","40,410","28,386","10,380","28,357","61,719",423
Maryland,"2,470,307","1,265,441","517,506","36,577","52,225","120,814","201,758","239,817","35,770",399
Massachusetts,"2,928,818","1,517,155","158,499","273,079","316,292","169,171","132,109","337,967","23,506","1,040"
Michigan,"4,629,605","3,322,812","214,550","111,862","122,591","199,926","162,923","246,269","247,267","1,405"
Minnesota,"2,477,515","1,652,155","180,267","54,232","50,424","52,167","82,897","325,506","78,941",926
Mississippi,"1,339,047","920,763","14,605","33,719","41,298","65,085","31,199","34,045","196,251","2,082"
Missouri,"2,819,334","1,980,150","98,119","94,351","120,940","107,855","92,882","149,934","170,630","4,473"
Montana,"519,938","357,191","19,803","13,546","27,152","13,032","13,510","23,398","51,580",726
Nebraska,"851,167","618,058","28,316","17,388","21,648","36,446","38,649","63,531","26,791",340
Nevada,"1,285,681","762,812","54,563","18,554","88,436","95,335","71,777","122,753","69,366","2,085"
New Hampshire,"642,298","400,650","31,288","34,554","34,732","34,088","22,681","47,881","36,269",155
New Jersey,"3,641,854","1,933,898","354,386","313,537","222,902","173,592","171,485","435,762","35,245","1,047"
New Mexico,"948,470","613,704","33,042","18,284","34,208","26,208","21,622","40,390","159,462","1,550"
New York,"8,404,205","3,478,118","428,146","848,063","589,060","432,697","349,173","2,086,575","190,184","2,189"
North Carolina,"4,748,148","3,093,122","197,708","92,360","128,647","201,868","199,505","251,835","579,642","3,461"
North Dakota,"379,974","213,007","20,466","8,409","13,830","15,456","20,890","60,433","27,036",447
Ohio,"5,232,943","3,588,535","240,815","214,296","229,861","245,830","197,497","322,601","192,006","1,502"
Oklahoma,"1,749,520","1,275,782","35,807","32,294","46,792","65,341","58,040","71,690","159,770","4,004"
Oregon,"1,808,482","1,141,051","84,806","47,449","80,842","84,062","64,963","165,170","134,714","5,425"
Pennsylvania,"5,732,580","3,258,462","1,051,317","246,317","234,927","189,526","153,174","383,498","214,090","1,269"
Rhode Island,"470,177","253,203","16,484","53,827","59,242","21,731","16,629","45,033","3,939",89
South Carolina,"2,351,364","1,508,767","72,514","42,193","62,239","105,745","76,051","120,743","361,418","1,694"
South Dakota,"401,749","269,904","15,756","7,689","13,897","16,486","17,311","26,973","33,656",77
Tennessee,"3,028,437","2,070,329","105,410","77,928","92,093","130,558","119,293","162,257","266,965","3,604"
Texas,"11,283,892","7,286,943","286,125","210,376","364,366","529,523","729,511","1,083,851","770,903","22,294"
Utah,"1,133,543","768,897","73,640","27,484","49,027","37,578","52,043","87,605","37,153",116
Vermont,"339,412","225,306","13,535","17,565","22,261","16,413","6,373","16,305","21,640",14
Virginia,"3,562,258","2,193,479","380,210","54,928","93,030","162,803","210,811","291,845","173,875","1,277"
Washington,"3,195,098","1,984,984","129,382","71,700","112,448","152,584","160,802","380,146","196,470","6,582"
West Virginia,"894,983","638,080","18,937","19,452","28,169","25,424","15,196","24,143","124,903",679
Wisconsin,"2,725,153","1,805,692","107,864","180,832","98,470","130,731","97,095","212,955","90,567",947
Wyoming,"280,281","183,348","15,253","5,456","11,948","11,271","6,338","9,859","36,424",384
