,    Total housing units,"        1-unit, detached","        1-unit, attached",        2 units,        3 or 4 units,        5 to 9 units,        10 to 19 units,        20 or more units,        Mobile home,"        Boat, RV, van, etc."
Alabama,"2,284,922",68.2%,1.7%,1.8%,3.1%,4.3%,3.4%,4.3%,13.2%,0.2%
Alaska,"319,867",62.8%,7.2%,5.5%,7.2%,4.7%,3.0%,5.2%,4.2%,0.2%
Arizona,"3,076,048",63.3%,4.8%,1.4%,3.4%,4.0%,4.4%,8.0%,10.3%,0.4%
Arkansas,"1,389,159",69.7%,1.5%,3.2%,3.5%,3.5%,3.8%,2.9%,11.8%,0.1%
California,"14,367,012",57.1%,6.8%,2.4%,5.5%,6.1%,5.2%,13.0%,3.7%,0.1%
Colorado,"2,464,109",62.4%,7.2%,1.4%,3.2%,4.6%,5.6%,11.5%,4.0%,0.1%
Connecticut,"1,524,959",58.3%,5.5%,7.9%,8.8%,5.4%,3.9%,9.4%,0.7%,0.0%
Delaware,"443,764",59.1%,15.2%,1.6%,2.3%,4.4%,4.6%,5.4%,7.5%,0.0%
District of Columbia,"322,814",11.5%,24.1%,3.3%,6.8%,7.5%,10.0%,36.7%,0.1%,0.0%
Florida,"9,674,053",54.2%,6.2%,1.9%,3.8%,5.0%,5.7%,14.2%,8.8%,0.2%
Georgia,"4,378,350",66.0%,4.2%,2.2%,2.7%,4.6%,4.7%,6.6%,9.0%,0.1%
Hawaii,"550,328",53.1%,8.3%,2.4%,3.8%,6.5%,4.8%,20.7%,0.3%,0.0%
Idaho,"751,113",72.9%,3.3%,2.2%,4.3%,2.9%,2.0%,3.8%,8.4%,0.2%
Illinois,"5,388,210",58.4%,5.8%,5.7%,6.3%,6.3%,3.7%,11.3%,2.4%,0.0%
Indiana,"2,921,115",73.1%,3.8%,2.4%,3.4%,5.1%,3.6%,4.2%,4.5%,0.0%
Iowa,"1,418,600",72.2%,4.4%,2.2%,3.2%,3.7%,4.4%,6.4%,3.5%,0.1%
Kansas,"1,288,430",72.0%,4.8%,2.6%,3.6%,3.8%,3.6%,5.1%,4.5%,0.0%
Kentucky,"2,006,335",67.2%,2.6%,3.0%,4.2%,4.7%,3.6%,3.4%,11.4%,0.1%
Louisiana,"2,089,824",65.5%,2.5%,4.0%,4.0%,3.1%,2.9%,4.7%,13.2%,0.1%
Maine,"750,964",70.4%,2.0%,4.9%,5.4%,3.8%,1.4%,3.8%,8.2%,0.1%
Maryland,"2,470,307",51.2%,20.9%,1.5%,2.1%,4.9%,8.2%,9.7%,1.4%,0.0%
Massachusetts,"2,928,818",51.8%,5.4%,9.3%,10.8%,5.8%,4.5%,11.5%,0.8%,0.0%
Michigan,"4,629,605",71.8%,4.6%,2.4%,2.6%,4.3%,3.5%,5.3%,5.3%,0.0%
Minnesota,"2,477,515",66.7%,7.3%,2.2%,2.0%,2.1%,3.3%,13.1%,3.2%,0.0%
Mississippi,"1,339,047",68.8%,1.1%,2.5%,3.1%,4.9%,2.3%,2.5%,14.7%,0.2%
Missouri,"2,819,334",70.2%,3.5%,3.3%,4.3%,3.8%,3.3%,5.3%,6.1%,0.2%
Montana,"519,938",68.7%,3.8%,2.6%,5.2%,2.5%,2.6%,4.5%,9.9%,0.1%
Nebraska,"851,167",72.6%,3.3%,2.0%,2.5%,4.3%,4.5%,7.5%,3.1%,0.0%
Nevada,"1,285,681",59.3%,4.2%,1.4%,6.9%,7.4%,5.6%,9.5%,5.4%,0.2%
New Hampshire,"642,298",62.4%,4.9%,5.4%,5.4%,5.3%,3.5%,7.5%,5.6%,0.0%
New Jersey,"3,641,854",53.1%,9.7%,8.6%,6.1%,4.8%,4.7%,12.0%,1.0%,0.0%
New Mexico,"948,470",64.7%,3.5%,1.9%,3.6%,2.8%,2.3%,4.3%,16.8%,0.2%
New York,"8,404,205",41.4%,5.1%,10.1%,7.0%,5.1%,4.2%,24.8%,2.3%,0.0%
North Carolina,"4,748,148",65.1%,4.2%,1.9%,2.7%,4.3%,4.2%,5.3%,12.2%,0.1%
North Dakota,"379,974",56.1%,5.4%,2.2%,3.6%,4.1%,5.5%,15.9%,7.1%,0.1%
Ohio,"5,232,943",68.6%,4.6%,4.1%,4.4%,4.7%,3.8%,6.2%,3.7%,0.0%
Oklahoma,"1,749,520",72.9%,2.0%,1.8%,2.7%,3.7%,3.3%,4.1%,9.1%,0.2%
Oregon,"1,808,482",63.1%,4.7%,2.6%,4.5%,4.6%,3.6%,9.1%,7.4%,0.3%
Pennsylvania,"5,732,580",56.8%,18.3%,4.3%,4.1%,3.3%,2.7%,6.7%,3.7%,0.0%
Rhode Island,"470,177",53.9%,3.5%,11.4%,12.6%,4.6%,3.5%,9.6%,0.8%,0.0%
South Carolina,"2,351,364",64.2%,3.1%,1.8%,2.6%,4.5%,3.2%,5.1%,15.4%,0.1%
South Dakota,"401,749",67.2%,3.9%,1.9%,3.5%,4.1%,4.3%,6.7%,8.4%,0.0%
Tennessee,"3,028,437",68.4%,3.5%,2.6%,3.0%,4.3%,3.9%,5.4%,8.8%,0.1%
Texas,"11,283,892",64.6%,2.5%,1.9%,3.2%,4.7%,6.5%,9.6%,6.8%,0.2%
Utah,"1,133,543",67.8%,6.5%,2.4%,4.3%,3.3%,4.6%,7.7%,3.3%,0.0%
Vermont,"339,412",66.4%,4.0%,5.2%,6.6%,4.8%,1.9%,4.8%,6.4%,0.0%
