,    Owner-occupied units,"        Less than $50,000","        $50,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 to $299,999","        $300,000 to $499,999","        $500,000 to $999,999","        $1,000,000 or more",        Median (dollars)
Alabama,"1,305,223",12.4%,18.5%,17.5%,17.1%,18.1%,11.3%,4.2%,0.8%,(X)
Alaska,"163,272",5.7%,4.9%,6.5%,10.1%,27.9%,34.0%,10.0%,0.8%,(X)
Arizona,"1,742,670",7.0%,5.6%,7.6%,12.7%,28.7%,26.1%,10.1%,2.2%,(X)
Arkansas,"761,809",13.4%,22.0%,20.1%,16.4%,16.0%,8.7%,2.8%,0.8%,(X)
California,"7,218,742",2.5%,1.8%,1.8%,2.8%,9.2%,24.9%,38.7%,18.2%,(X)
Colorado,"1,471,912",3.0%,2.4%,3.0%,4.4%,15.9%,41.0%,25.6%,4.8%,(X)
Connecticut,"895,594",2.0%,2.8%,7.5%,14.7%,28.1%,27.9%,12.0%,5.0%,(X)
Delaware,"264,503",5.0%,3.4%,7.4%,15.1%,30.5%,29.4%,7.3%,1.9%,(X)
District of Columbia,"120,988",0.8%,0.3%,1.5%,0.6%,5.8%,26.9%,42.6%,21.6%,(X)
Florida,"5,237,519",5.9%,8.0%,9.8%,13.9%,26.4%,24.0%,9.3%,2.7%,(X)
Georgia,"2,470,572",7.2%,11.3%,13.7%,17.2%,22.2%,18.9%,8.0%,1.5%,(X)
Hawaii,"279,960",0.9%,0.6%,1.2%,2.1%,5.8%,20.7%,52.5%,16.2%,(X)
Idaho,"469,387",5.4%,4.9%,9.3%,14.1%,28.5%,26.1%,9.9%,1.8%,(X)
Illinois,"3,211,867",5.7%,12.9%,14.1%,15.0%,23.3%,19.5%,7.6%,1.8%,(X)
Indiana,"1,800,483",7.4%,19.1%,20.8%,18.9%,18.7%,11.1%,3.3%,0.6%,(X)
Iowa,"907,880",8.1%,18.1%,20.1%,17.7%,19.8%,12.2%,3.3%,0.7%,(X)
Kansas,"756,566",11.0%,18.4%,15.6%,16.2%,19.9%,13.9%,4.3%,0.7%,(X)
Kentucky,"1,171,824",11.5%,18.4%,19.4%,17.7%,17.6%,11.2%,3.5%,0.7%,(X)
Louisiana,"1,157,652",11.0%,13.8%,15.5%,19.1%,21.9%,13.3%,4.2%,1.2%,(X)
Maine,"414,119",6.5%,11.7%,13.9%,17.8%,24.6%,18.1%,6.1%,1.4%,(X)
Maryland,"1,488,168",2.6%,2.9%,5.4%,8.6%,23.6%,34.8%,18.9%,3.2%,(X)
Massachusetts,"1,647,747",1.6%,1.1%,2.5%,5.5%,16.3%,36.1%,30.1%,6.9%,(X)
Michigan,"2,841,195",10.0%,15.3%,16.5%,17.6%,20.8%,14.5%,4.5%,0.9%,(X)
Minnesota,"1,598,396",4.3%,6.2%,9.5%,15.1%,29.7%,26.0%,7.9%,1.2%,(X)
Mississippi,"740,651",14.4%,24.8%,17.2%,17.0%,15.9%,7.6%,2.4%,0.6%,(X)
Missouri,"1,650,019",8.6%,16.1%,18.2%,17.6%,20.3%,14.0%,4.4%,0.9%,(X)
Montana,"301,456",7.6%,7.1%,7.8%,13.2%,25.2%,26.4%,10.6%,2.1%,(X)
Nebraska,"511,370",7.3%,14.0%,18.3%,20.2%,22.3%,13.3%,3.7%,0.8%,(X)
Nevada,"647,518",3.5%,2.5%,4.1%,7.6%,27.6%,38.2%,13.7%,2.6%,(X)
New Hampshire,"384,166",3.6%,4.6%,7.1%,11.2%,29.2%,33.0%,9.8%,1.5%,(X)
New Jersey,"2,081,798",2.1%,2.5%,4.8%,9.0%,21.2%,34.8%,21.9%,3.6%,(X)
New Mexico,"540,052",10.6%,12.4%,13.9%,19.3%,21.5%,15.0%,5.6%,1.7%,(X)
New York,"3,985,516",4.0%,8.9%,10.3%,9.4%,13.0%,21.3%,24.2%,8.8%,(X)
North Carolina,"2,642,709",7.3%,12.9%,15.2%,16.4%,21.8%,18.2%,6.8%,1.3%,(X)
North Dakota,"198,411",8.6%,11.4%,11.2%,17.2%,26.5%,18.7%,5.3%,1.2%,(X)
Ohio,"3,123,733",7.8%,19.0%,20.0%,17.9%,19.5%,11.7%,3.4%,0.6%,(X)
Oklahoma,"979,898",11.1%,20.4%,19.7%,17.9%,17.1%,9.7%,3.2%,1.0%,(X)
Oregon,"1,037,125",4.5%,2.7%,3.6%,6.1%,20.4%,39.4%,20.6%,2.7%,(X)
Pennsylvania,"3,501,824",6.6%,13.7%,14.9%,17.1%,22.4%,17.7%,6.5%,1.2%,(X)
Rhode Island,"251,146",2.1%,1.5%,4.1%,11.6%,36.9%,30.9%,11.1%,2.0%,(X)
South Carolina,"1,388,492",9.8%,14.4%,15.1%,16.7%,20.3%,15.5%,6.7%,1.6%,(X)
South Dakota,"239,931",11.2%,11.2%,13.3%,19.4%,23.7%,16.1%,4.5%,0.7%,(X)
Tennessee,"1,765,720",7.0%,14.1%,14.9%,16.1%,22.0%,17.3%,7.0%,1.6%,(X)
Texas,"6,179,278",7.8%,13.3%,13.3%,15.5%,22.7%,18.5%,7.1%,1.8%,(X)
Utah,"723,288",3.4%,1.6%,3.9%,6.8%,27.1%,39.0%,16.0%,2.3%,(X)
