,    Occupied housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available
Alabama,"1,897,576","114,350","591,185","694,102","497,939"
Alaska,"252,199","25,042","77,340","92,154","57,663"
Arizona,"2,670,441","159,334","906,026","1,014,908","590,173"
Arkansas,"1,163,647","74,324","385,488","442,691","261,144"
California,"13,157,873","929,634","3,934,869","4,850,280","3,443,090"
Colorado,"2,235,103","114,927","645,746","882,188","592,242"
Connecticut,"1,377,166","119,232","456,196","508,221","293,517"
Delaware,"376,239","21,336","130,709","147,208","76,986"
District of Columbia,"291,570","101,879","134,968","43,308","11,415"
Florida,"7,905,832","485,909","3,071,767","3,018,675","1,329,481"
Georgia,"3,852,714","248,224","1,246,982","1,449,952","907,556"
Hawaii,"465,299","35,878","152,744","166,907","109,770"
Idaho,"655,859","26,879","157,425","254,314","217,241"
Illinois,"4,866,006","538,026","1,709,502","1,719,407","899,071"
Indiana,"2,597,765","168,709","833,024","982,605","613,427"
Iowa,"1,287,221","78,024","375,776","493,218","340,203"
Kansas,"1,138,329","60,842","335,008","439,183","303,296"
Kentucky,"1,748,732","126,692","552,884","656,054","413,102"
Louisiana,"1,741,076","148,294","652,457","636,831","303,494"
Maine,"573,618","36,466","192,635","228,700","115,817"
Maryland,"2,226,767","202,497","721,811","803,680","498,779"
Massachusetts,"2,650,680","329,176","927,508","950,866","443,130"
Michigan,"3,969,880","298,447","1,373,113","1,503,722","794,598"
Minnesota,"2,222,568","146,713","664,035","880,575","531,245"
Mississippi,"1,100,229","71,368","371,216","389,662","267,983"
Missouri,"2,458,337","170,354","787,466","945,010","555,507"
Montana,"437,651","20,080","119,072","161,009","137,490"
Nebraska,"771,444","41,559","218,681","302,927","208,277"
Nevada,"1,143,557","80,824","393,609","420,841","248,283"
New Hampshire,"541,396","28,619","165,796","220,702","126,279"
New Jersey,"3,286,264","379,886","1,104,628","1,181,342","620,408"
New Mexico,"793,420","46,300","260,386","281,881","204,853"
New York,"7,446,812","2,187,017","2,428,933","1,896,488","934,374"
North Carolina,"4,046,348","234,767","1,261,686","1,539,236","1,010,659"
North Dakota,"323,519","17,281","97,032","121,133","88,073"
Ohio,"4,730,340","365,115","1,582,919","1,775,665","1,006,641"
Oklahoma,"1,495,151","84,048","473,606","570,028","367,469"
Oregon,"1,649,352","127,836","503,359","610,185","407,972"
Pennsylvania,"5,119,249","563,183","1,749,369","1,837,494","969,203"
Rhode Island,"407,174","39,618","146,065","150,479","71,012"
South Carolina,"1,975,915","117,642","629,229","763,489","465,555"
South Dakota,"353,799","18,056","98,193","132,228","105,322"
Tennessee,"2,654,737","150,031","820,649","987,987","696,070"
Texas,"9,985,126","537,779","3,185,707","4,025,766","2,235,874"
Utah,"1,023,855","39,422","236,721","411,442","336,270"
Vermont,"262,767","18,061","94,218","103,688","46,800"
Virginia,"3,191,847","195,919","945,542","1,212,150","838,236"
Washington,"2,932,477","208,362","857,632","1,086,368","780,115"
West Virginia,"728,175","67,611","240,513","265,364","154,687"
Wisconsin,"2,386,623","160,053","761,522","948,535","516,513"
Wyoming,"233,128","10,194","55,409","89,218","78,307"
