,    Occupied housing units,        Moved in 2017 or later,        Moved in 2015 to 2016,        Moved in 2010 to 2014,        Moved in 2000 to 2009,        Moved in 1990 to 1999,        Moved in 1989 and earlier
Alabama,"1,897,576","498,804","237,251","281,378","398,411","224,772","256,960"
Alaska,"252,199","78,925","31,200","40,423","49,277","27,186","25,188"
Arizona,"2,670,441","889,594","372,388","473,425","522,989","246,671","165,374"
Arkansas,"1,163,647","330,914","156,292","186,380","238,244","129,264","122,553"
California,"13,157,873","3,463,334","1,662,718","2,424,506","2,683,114","1,500,940","1,423,261"
Colorado,"2,235,103","753,266","309,197","362,309","424,334","218,632","167,365"
Connecticut,"1,377,166","339,603","161,802","193,819","301,780","174,509","205,653"
Delaware,"376,239","90,234","50,926","61,948","84,957","45,271","42,903"
District of Columbia,"291,570","107,958","41,987","46,578","46,232","19,580","29,235"
Florida,"7,905,832","2,471,543","1,120,798","1,324,635","1,584,448","828,334","576,074"
Georgia,"3,852,714","1,180,433","516,608","573,506","789,837","423,930","368,400"
Hawaii,"465,299","129,543","48,892","64,698","89,588","53,147","79,431"
Idaho,"655,859","205,038","88,620","107,300","131,213","64,446","59,242"
Illinois,"4,866,006","1,278,567","601,186","738,299","1,021,315","598,702","627,937"
Indiana,"2,597,765","724,829","325,510","401,941","502,521","310,367","332,597"
Iowa,"1,287,221","353,306","149,955","203,692","261,598","152,006","166,664"
Kansas,"1,138,329","344,836","138,199","177,882","218,035","127,174","132,203"
Kentucky,"1,748,732","481,245","212,702","263,184","357,580","205,648","228,373"
Louisiana,"1,741,076","448,061","213,672","257,498","364,018","197,855","259,972"
Maine,"573,618","130,948","64,860","93,793","125,583","71,797","86,637"
Maryland,"2,226,767","591,325","277,111","333,355","471,164","274,524","279,288"
Massachusetts,"2,650,680","669,935","320,327","429,789","525,367","325,277","379,985"
Michigan,"3,969,880","1,003,835","478,179","658,125","755,762","504,466","569,513"
Minnesota,"2,222,568","579,433","278,539","350,249","452,226","279,085","283,036"
Mississippi,"1,100,229","275,291","124,021","163,296","231,795","144,516","161,310"
Missouri,"2,458,337","714,041","304,909","376,924","496,968","284,847","280,648"
Montana,"437,651","127,297","48,979","71,395","91,012","47,473","51,495"
Nebraska,"771,444","224,436","102,053","118,976","149,363","85,992","90,624"
Nevada,"1,143,557","427,495","176,161","207,782","202,395","89,239","40,485"
New Hampshire,"541,396","141,320","66,615","88,065","111,964","65,769","67,663"
New Jersey,"3,286,264","774,796","394,205","517,290","723,361","422,094","454,518"
New Mexico,"793,420","209,458","88,927","111,690","174,308","99,984","109,053"
New York,"7,446,812","1,673,108","801,042","1,149,884","1,614,208","989,875","1,218,695"
North Carolina,"4,046,348","1,184,178","515,855","594,605","836,993","444,923","469,794"
North Dakota,"323,519","110,456","39,275","53,480","53,085","30,098","37,125"
Ohio,"4,730,340","1,264,541","572,493","720,240","917,444","577,774","677,848"
Oklahoma,"1,495,151","457,593","178,242","241,605","304,333","150,313","163,065"
Oregon,"1,649,352","512,114","228,368","279,757","325,683","166,015","137,415"
Pennsylvania,"5,119,249","1,213,982","556,726","730,292","1,069,832","645,350","903,067"
Rhode Island,"407,174","97,319","52,533","66,074","80,126","49,184","61,938"
South Carolina,"1,975,915","534,615","255,998","312,678","406,050","218,965","247,609"
South Dakota,"353,799","101,354","41,657","60,620","70,540","38,769","40,859"
Tennessee,"2,654,737","789,684","325,519","405,129","515,783","307,773","310,849"
Texas,"9,985,126","3,286,056","1,295,845","1,574,990","1,994,469","955,990","877,776"
Utah,"1,023,855","337,812","139,811","161,477","195,953","94,945","93,857"
Vermont,"262,767","66,176","26,667","39,964","56,981","31,820","41,159"
Virginia,"3,191,847","924,551","394,602","471,652","654,756","359,976","386,310"
Washington,"2,932,477","956,511","404,909","461,436","568,505","294,469","246,647"
West Virginia,"728,175","152,622","76,008","103,813","151,215","103,974","140,543"
Wisconsin,"2,386,623","634,098","284,857","360,605","492,765","298,294","316,004"
Wyoming,"233,128","74,742","27,436","37,768","44,894","22,563","25,725"
