,    Total housing units,        Built 2014 or later,        Built 2010 to 2013,        Built 2000 to 2009,        Built 1990 to 1999,        Built 1980 to 1989,        Built 1970 to 1979,        Built 1960 to 1969,        Built 1950 to 1959,        Built 1940 to 1949,        Built 1939 or earlier
Alabama,"2,284,922","107,319","81,097","335,657","400,393","351,944","371,378","248,353","185,539","87,497","115,745"
Alaska,"319,867","12,494","8,365","47,512","43,463","80,180","75,265","25,813","16,218","5,068","5,489"
Arizona,"3,076,048","163,504","89,419","698,129","607,991","535,830","509,584","224,767","163,102","40,504","43,218"
Arkansas,"1,389,159","73,694","53,746","212,641","246,852","206,402","241,731","141,416","95,895","51,294","65,488"
California,"14,367,012","454,864","241,416","1,536,326","1,550,276","2,129,811","2,506,006","1,912,547","1,905,907","831,501","1,298,358"
Colorado,"2,464,109","165,934","76,050","404,227","406,261","342,819","440,868","204,102","185,329","57,104","181,415"
Connecticut,"1,524,959","34,234","22,093","99,013","116,093","190,350","210,328","197,072","228,841","98,241","328,694"
Delaware,"443,764","30,674","17,128","70,457","67,040","56,985","48,917","46,464","48,728","17,620","39,751"
District of Columbia,"322,814","20,330","12,767","28,399","13,219","14,972","18,312","33,632","38,768","36,517","105,898"
Florida,"9,674,053","554,183","247,860","1,764,689","1,620,372","1,937,197","1,654,016","851,332","657,118","191,654","195,632"
Georgia,"4,378,350","252,597","123,490","871,654","899,407","714,264","589,562","373,742","259,666","115,087","178,881"
Hawaii,"550,328","19,287","15,462","67,001","73,056","76,798","134,549","80,752","44,716","21,095","17,612"
Idaho,"751,113","59,997","26,234","144,715","133,154","77,169","126,608","48,990","43,223","26,088","64,935"
Illinois,"5,388,210","118,501","74,917","569,942","598,869","489,496","802,435","616,680","652,796","327,574","1,137,000"
Indiana,"2,921,115","116,388","67,608","333,485","423,063","292,555","392,048","313,662","325,594","163,880","492,832"
Iowa,"1,418,600","66,320","40,607","149,280","152,872","104,516","199,603","135,956","140,366","67,643","361,437"
Kansas,"1,288,430","51,847","32,558","135,764","164,839","143,696","195,731","126,445","157,068","69,233","211,249"
Kentucky,"2,006,335","83,060","56,441","270,350","333,236","249,863","320,150","221,059","185,867","86,873","199,436"
Louisiana,"2,089,824","104,690","79,414","300,590","272,221","296,102","385,076","248,104","185,727","87,016","130,884"
Maine,"750,964","20,474","15,917","87,255","91,374","112,227","103,261","48,559","56,811","35,473","179,613"
Maryland,"2,470,307","103,519","57,669","269,754","350,028","377,237","331,998","289,250","284,617","129,318","276,917"
