,    Total housing units,        Built 2014 or later,        Built 2010 to 2013,        Built 2000 to 2009,        Built 1990 to 1999,        Built 1980 to 1989,        Built 1970 to 1979,        Built 1960 to 1969,        Built 1950 to 1959,        Built 1940 to 1949,        Built 1939 or earlier
Alabama,"2,284,922",4.7%,3.5%,14.7%,17.5%,15.4%,16.3%,10.9%,8.1%,3.8%,5.1%
Alaska,"319,867",3.9%,2.6%,14.9%,13.6%,25.1%,23.5%,8.1%,5.1%,1.6%,1.7%
Arizona,"3,076,048",5.3%,2.9%,22.7%,19.8%,17.4%,16.6%,7.3%,5.3%,1.3%,1.4%
Arkansas,"1,389,159",5.3%,3.9%,15.3%,17.8%,14.9%,17.4%,10.2%,6.9%,3.7%,4.7%
California,"14,367,012",3.2%,1.7%,10.7%,10.8%,14.8%,17.4%,13.3%,13.3%,5.8%,9.0%
Colorado,"2,464,109",6.7%,3.1%,16.4%,16.5%,13.9%,17.9%,8.3%,7.5%,2.3%,7.4%
Connecticut,"1,524,959",2.2%,1.4%,6.5%,7.6%,12.5%,13.8%,12.9%,15.0%,6.4%,21.6%
Delaware,"443,764",6.9%,3.9%,15.9%,15.1%,12.8%,11.0%,10.5%,11.0%,4.0%,9.0%
District of Columbia,"322,814",6.3%,4.0%,8.8%,4.1%,4.6%,5.7%,10.4%,12.0%,11.3%,32.8%
Florida,"9,674,053",5.7%,2.6%,18.2%,16.7%,20.0%,17.1%,8.8%,6.8%,2.0%,2.0%
Georgia,"4,378,350",5.8%,2.8%,19.9%,20.5%,16.3%,13.5%,8.5%,5.9%,2.6%,4.1%
Hawaii,"550,328",3.5%,2.8%,12.2%,13.3%,14.0%,24.4%,14.7%,8.1%,3.8%,3.2%
Idaho,"751,113",8.0%,3.5%,19.3%,17.7%,10.3%,16.9%,6.5%,5.8%,3.5%,8.6%
Illinois,"5,388,210",2.2%,1.4%,10.6%,11.1%,9.1%,14.9%,11.4%,12.1%,6.1%,21.1%
Indiana,"2,921,115",4.0%,2.3%,11.4%,14.5%,10.0%,13.4%,10.7%,11.1%,5.6%,16.9%
Iowa,"1,418,600",4.7%,2.9%,10.5%,10.8%,7.4%,14.1%,9.6%,9.9%,4.8%,25.5%
Kansas,"1,288,430",4.0%,2.5%,10.5%,12.8%,11.2%,15.2%,9.8%,12.2%,5.4%,16.4%
Kentucky,"2,006,335",4.1%,2.8%,13.5%,16.6%,12.5%,16.0%,11.0%,9.3%,4.3%,9.9%
Louisiana,"2,089,824",5.0%,3.8%,14.4%,13.0%,14.2%,18.4%,11.9%,8.9%,4.2%,6.3%
Maine,"750,964",2.7%,2.1%,11.6%,12.2%,14.9%,13.8%,6.5%,7.6%,4.7%,23.9%
Maryland,"2,470,307",4.2%,2.3%,10.9%,14.2%,15.3%,13.4%,11.7%,11.5%,5.2%,11.2%
Massachusetts,"2,928,818",3.0%,1.6%,6.9%,7.4%,10.9%,12.1%,10.1%,11.1%,5.3%,31.6%
Michigan,"4,629,605",2.5%,1.2%,9.7%,13.0%,9.7%,15.3%,11.9%,14.7%,7.2%,14.7%
Minnesota,"2,477,515",4.3%,2.3%,12.8%,13.6%,12.7%,14.9%,9.3%,9.7%,4.4%,16.1%
Mississippi,"1,339,047",4.3%,3.1%,16.0%,17.4%,14.7%,18.0%,11.6%,7.3%,3.0%,4.8%
Missouri,"2,819,334",3.6%,2.4%,12.5%,14.2%,12.1%,15.3%,11.3%,9.8%,4.7%,14.1%
Montana,"519,938",5.1%,3.5%,14.5%,13.0%,11.7%,17.9%,8.4%,8.5%,4.2%,13.3%
Nebraska,"851,167",4.7%,2.8%,10.8%,11.4%,9.2%,16.1%,10.7%,10.2%,4.5%,19.5%
Nevada,"1,285,681",5.9%,3.4%,25.4%,27.0%,14.3%,13.0%,5.9%,2.8%,1.2%,1.1%
New Hampshire,"642,298",2.8%,2.2%,11.4%,10.4%,19.5%,14.1%,7.8%,7.1%,3.5%,21.3%
New Jersey,"3,641,854",2.9%,1.7%,8.9%,9.5%,11.9%,12.6%,13.0%,14.5%,6.9%,18.1%
New Mexico,"948,470",3.0%,2.7%,14.1%,17.5%,17.1%,17.6%,9.5%,9.8%,3.9%,4.8%
New York,"8,404,205",2.2%,1.5%,6.0%,6.2%,7.4%,10.0%,12.7%,14.9%,7.9%,31.1%
